q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
106.214,0.215,134.874,-72.782,105.859,-152.057,a_6,-0.512,-0.267,-0.986,-1.290,0.000,0.647,0.222,0.253,0.391,0.890,-0.163,0.135,0.010,0.092,-0.472,0.003,-0.212,0.136,0.047,0.008,0.187,-0.028,0.003,-0.000,-0.000
105.242,3.175,129.675,-65.105,101.111,-79.697,a_6,-0.533,0.426,0.743,0.973,-0.198,-0.064,0.140,-0.199,0.315,-0.426,0.216,0.090,0.129,-0.300,-0.287,0.005,-0.383,0.088,-0.010,-0.030,0.111,0.089,0.002,0.000,-0.000
107.626,3.310,126.636,-53.130,69.847,61.606,a_6,-0.645,0.213,-1.009,-1.321,-0.106,0.137,-0.261,-0.080,0.178,0.244,0.144,0.097,0.187,0.131,-0.199,-0.016,-0.390,0.055,-0.014,0.063,-0.239,-0.209,0.007,0.000,-0.000
106.593,0.106,136.797,-75.756,65.815,155.310,a_6,-0.557,-0.257,1.193,1.562,0.000,-0.630,-0.342,0.187,0.415,-0.834,-0.215,0.013,-0.003,-0.292,-0.410,0.007,0.209,0.173,0.056,0.027,-0.386,-0.061,-0.004,0.000,-0.000
108.371,2.915,134.418,-81.112,93.920,173.531,a_6,-0.500,-0.182,-1.216,-1.591,-0.022,0.596,0.062,0.065,0.477,1.551,-0.023,0.083,0.034,0.103,-0.358,0.012,0.020,0.052,0.014,0.067,0.007,-0.240,0.027,0.000,-0.000
105.154,3.205,130.207,-66.999,100.930,277.594,a_6,-0.534,0.431,0.771,1.009,-0.203,-0.077,0.138,-0.224,0.336,-0.481,0.225,0.082,0.119,-0.296,-0.292,0.005,-0.359,0.088,-0.010,-0.034,0.119,0.101,0.002,0.000,-0.000
106.029,-0.073,135.423,-62.836,76.328,18.722,d_6,-0.157,0.172,-0.493,-0.646,-0.201,-0.026,-0.174,-0.677,0.253,-0.164,0.167,-0.397,0.089,-0.156,-0.655,-0.001,-0.207,0.226,-0.033,0.005,0.029,-0.016,-0.000,-0.000,-0.000
106.573,10.370,106.606,-8.677,86.573,356.020,d_6,-0.113,-0.117,-0.220,-0.288,0.188,-0.057,-0.062,0.676,-0.257,0.134,-0.185,0.333,0.413,0.419,0.609,-0.008,-0.975,-0.216,0.056,0.022,-0.355,-0.073,0.001,0.000,-0.000
106.318,3.520,131.348,-82.367,98.000,-141.145,d_6,-0.298,0.820,0.204,0.267,-0.285,0.145,0.099,-0.198,0.583,-0.006,0.268,0.276,0.079,-0.162,-0.196,-0.001,-0.182,0.067,-0.001,0.019,-0.046,-0.057,0.000,0.000,-0.000
106.036,-1.444,139.694,-82.934,86.476,-181.046,d_6,-0.246,-0.904,0.064,0.084,0.277,0.058,-0.059,0.218,0.527,0.032,-0.273,-0.307,-0.003,-0.138,-0.619,0.002,-0.041,0.203,0.082,0.004,-0.132,-0.011,0.000,-0.000,-0.000
105.099,-0.440,113.409,0.791,90.704,-360.000,d_6,-0.077,0.479,0.103,0.135,-0.218,0.346,0.004,1.527,-0.346,-0.146,0.216,1.934,0.257,-0.147,-0.711,-0.005,-0.660,0.226,0.036,-0.033,0.097,0.101,-0.002,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
148.95,-23.33,122.92,-1.07,56.02,-30.84,JOINT,,,,,,,,,,,,,,,,,,,,,,,,,
128.68,-23.49,133.13,100.98,-74.33,-93.83,JOINT,,,,,,,,,,,,,,,,,,,,,,,,,
108.801,1.102,135.840,75.780,-80.493,127.576,theta_5,-2.072,-0.623,0.511,0.669,0.000,5.280,1.154,0.911,0.146,-0.746,1.508,0.226,-0.426,-0.010,-0.040,0.024,0.391,0.138,0.034,0.127,-0.453,-0.263,-0.026,0.000,-0.000
