q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
14.218,24.343,142.095,-84.578,106.810,-64.364,d_6,-0.542,-0.687,-0.209,-0.236,0.236,-0.219,0.124,-0.040,0.048,-0.121,-0.117,-0.028,0.006,0.028,-0.023,-0.005,-0.026,-0.002,0.004,-0.006,-0.051,0.008,0.003,-0.000,-0.000
14.102,24.671,142.631,-89.062,107.196,-70.302,d_6,-0.480,-0.752,-0.134,-0.151,0.271,-0.282,0.167,-0.008,0.093,-0.169,-0.158,-0.094,0.017,0.090,-0.037,-0.006,-0.093,0.010,-0.001,-0.010,-0.022,0.017,0.004,0.000,-0.000
14.249,25.710,134.232,-136.372,77.867,7.192,d_6,-0.454,0.307,-0.211,-0.238,-0.731,0.223,-0.055,-0.605,0.821,-0.173,0.726,0.778,0.045,-0.228,0.145,0.001,-0.158,-0.034,-0.006,-0.014,0.059,0.042,-0.000,0.000,-0.000
13.764,30.630,141.232,-119.448,77.072,153.530,d_6,-0.442,-1.581,0.214,0.241,0.550,0.152,-0.193,0.505,0.349,0.195,-0.518,-0.473,0.088,0.003,-0.157,-0.013,-0.061,-0.010,-0.103,-0.006,-0.014,0.018,-0.003,-0.000,-0.000
14.314,27.083,142.326,20.148,-82.900,-175.296,d_6,-0.413,-1.493,0.110,0.123,0.736,-0.099,-0.047,-0.074,0.867,-0.065,1.251,-0.249,0.053,0.032,-0.066,-0.004,-0.112,0.014,-0.044,-0.003,0.059,0.005,-0.000,-0.000,-0.000
13.740,23.667,142.351,-87.782,91.657,46.606,theta_5,-1.450,-0.588,-0.168,-0.189,-0.006,0.599,0.013,0.004,0.099,0.203,-0.019,-0.051,-0.003,-0.078,0.026,-0.002,-0.118,0.071,0.000,-0.009,0.119,0.058,-0.012,-0.000,-0.000
14.833,23.611,141.751,-81.302,88.099,-45.299,theta_5,-1.061,-0.301,0.121,0.136,-0.003,-0.321,-0.018,0.076,0.056,-0.143,-0.023,0.006,-0.002,-0.017,-0.014,0.001,0.108,-0.022,0.006,0.011,-0.124,-0.021,-0.004,0.000,-0.000
14.672,24.152,141.995,-81.293,88.004,-35.767,theta_5,-1.266,-0.205,0.078,0.087,-0.014,-0.240,-0.020,0.028,0.051,-0.099,-0.014,-0.028,-0.000,0.055,-0.007,0.000,0.030,-0.009,0.002,0.005,-0.052,-0.009,-0.002,0.000,-0.000
15.077,23.342,142.674,-89.099,52.534,58.918,a_5,-2.038,-0.000,0.000,0.000,0.000,0.035,-0.601,0.080,0.206,0.008,-0.092,-0.078,0.000,-0.012,-0.086,0.005,0.041,0.016,0.017,0.020,-0.034,-0.058,0.002,0.000,-0.000
16.840,24.170,137.014,18.815,-117.476,99.528,a_5,-0.909,0.052,-0.045,-0.050,-0.027,-2.343,-1.595,-0.314,0.396,0.677,0.941,0.242,-0.039,0.510,-0.191,0.027,0.069,-0.018,0.016,0.009,0.172,-0.068,0.027,0.000,-0.000
13.830,25.408,136.731,17.861,-60.128,129.286,a_5,-0.785,-0.867,0.446,0.502,-0.017,3.008,1.591,-0.225,0.418,-0.943,0.961,0.175,-0.037,-0.590,-0.082,-0.009,0.121,0.037,-0.008,-0.016,0.056,0.020,0.008,0.000,-0.000
13.405,25.442,140.800,13.758,-47.439,-179.909,a_5,-0.727,-0.511,-0.238,-0.268,-0.140,2.385,1.337,0.052,0.396,-0.768,1.184,-0.049,0.005,-0.090,-0.092,-0.016,-0.104,0.039,-0.010,-0.028,0.011,0.050,0.009,-0.000,-0.000
28.695,20.805,138.220,-44.638,-0.000,54.690,a_5,-0.584,-0.258,-1.184,-1.334,0.361,-1.494,-1.414,-0.011,-0.007,0.442,-0.057,0.095,0.097,-0.011,-1.589,-0.034,0.262,-0.119,0.086,0.249,-0.725,-0.922,0.213,0.000,-0.000
28.131,20.228,137.658,-17.419,-0.000,-17.591,a_5,-0.567,-0.597,-1.513,-1.704,0.439,-2.743,-1.517,-0.025,-0.260,0.192,-0.404,-0.335,0.144,-0.255,-1.576,-0.133,-0.315,0.022,0.039,0.074,-1.076,-0.594,0.185,0.000,-0.000
-1.554,25.701,125.882,-8.210,179.909,23.059,a_5,-0.429,-0.260,1.231,1.387,0.353,2.975,1.548,0.177,-0.311,-0.021,-0.496,-0.405,0.247,-0.398,-1.635,0.184,-0.543,0.342,0.094,-0.274,2.251,0.749,0.199,0.000,-0.000
