q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
106.364,4.962,136.109,55.385,-91.101,-65.497,theta_5,-3.086,-0.803,-1.833,-1.401,0.013,-7.366,-1.933,-0.056,0.050,0.451,0.416,-0.027,-0.004,0.005,-0.069,0.001,-0.009,0.000,0.001,-0.003,0.026,-0.011,0.008,0.000,-0.000
105.311,5.341,135.884,54.162,-79.733,-290.487,theta_5,-3.048,-0.364,1.953,1.492,-0.124,7.283,1.871,0.042,0.068,-0.421,0.644,-0.040,-0.004,0.006,-0.086,-0.003,-0.037,-0.001,-0.000,-0.017,0.025,0.023,0.010,0.000,-0.000
105.334,0.267,138.465,63.684,-124.387,-265.400,theta_5,-2.580,0.678,-0.346,-0.264,-0.382,-6.093,-1.714,-0.188,0.212,0.606,1.085,-0.105,-0.084,-0.007,-0.252,-0.005,-0.376,0.071,0.042,-0.006,0.401,0.034,-0.008,0.000,-0.000
105.400,2.489,137.814,65.781,-50.174,245.928,theta_5,-2.490,0.914,0.154,0.117,-0.477,6.127,1.621,0.068,0.185,-0.933,1.240,-0.162,0.038,0.004,-0.265,-0.004,0.143,0.080,0.024,-0.019,-0.316,0.037,0.006,0.000,-0.000
105.814,4.252,137.187,70.954,-50.654,-155.748,theta_5,-2.402,0.616,-0.278,-0.212,-0.508,6.271,1.641,0.311,0.146,-1.292,1.269,-0.102,0.114,0.001,-0.084,-0.001,0.053,0.027,0.008,-0.004,-0.106,0.007,0.001,-0.000,-0.000
103.219,-1.288,139.496,46.273,-66.812,360.000,theta_5,-2.341,0.274,2.478,1.893,-0.200,6.775,1.794,-0.592,0.226,0.308,0.747,-0.256,-0.075,0.017,-0.631,-0.022,0.457,0.138,0.054,-0.069,-0.985,0.090,0.040,0.000,-0.000
105.330,-3.190,140.000,55.779,-50.808,295.849,theta_5,-2.243,0.924,1.136,0.868,-0.408,5.977,1.587,-0.189,0.205,-0.123,1.150,-0.234,-0.180,-0.003,-0.641,-0.006,0.514,0.262,0.083,-0.019,-1.011,0.035,0.007,0.000,-0.000
109.453,10.839,111.206,126.487,-99.627,-106.318,theta_5,-1.530,-0.765,-0.469,-0.358,-0.079,-6.805,-1.745,-0.842,0.419,1.363,0.988,1.352,2.848,0.085,-0.043,0.019,1.156,-0.169,-0.029,0.038,-0.611,-0.209,0.052,-0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
107.439,2.304,126.751,-55.931,64.527,-279.758,a_5,-0.341,0.556,-0.862,-1.128,-0.192,-0.027,-0.348,0.057,0.252,-0.025,0.152,0.213,0.196,-0.249,-0.328,-0.010,-0.425,0.118,-0.016,0.067,-0.208,-0.206,0.002,-0.000,-0.000
106.272,4.757,136.203,51.602,-94.836,310.930,a_5,-1.309,-0.594,-1.633,-2.138,-0.060,-7.353,-1.968,-0.022,0.036,0.191,0.317,-0.024,0.004,-0.003,-0.060,0.001,-0.033,0.001,0.002,-0.003,0.053,-0.007,0.006,0.000,-0.000
105.124,5.074,136.049,50.909,-77.269,-303.986,a_5,-1.105,-0.220,1.674,2.192,-0.165,7.280,1.908,-0.017,0.073,-0.213,0.552,-0.058,0.008,-0.002,-0.126,-0.004,-0.014,0.003,0.002,-0.021,-0.016,0.025,0.013,0.000,-0.000
104.929,-0.391,138.384,62.843,-125.017,-271.557,a_5,-0.748,0.697,-0.341,-0.447,-0.387,-6.047,-1.702,-0.158,0.202,0.469,1.095,-0.080,-0.011,-0.046,-0.261,-0.008,-0.437,0.079,0.048,-0.010,0.444,0.058,-0.013,-0.000,-0.000
103.094,-1.129,139.505,46.190,-66.995,360.000,a_5,-0.660,0.255,1.899,2.486,-0.190,6.792,1.800,-0.647,0.237,0.293,0.735,-0.261,0.019,-0.059,-0.634,-0.023,0.445,0.131,0.053,-0.071,-0.973,0.090,0.042,0.000,-0.000
105.268,1.742,138.101,64.725,-49.987,-108.309,a_5,-0.644,0.931,0.191,0.250,-0.469,6.096,1.615,0.012,0.195,-0.846,1.234,-0.184,0.004,0.009,-0.335,-0.006,0.183,0.102,0.032,-0.023,-0.406,0.045,0.007,0.000,-0.000
107.286,-0.976,135.205,85.133,-120.000,-192.650,a_5,-0.573,0.120,0.398,0.521,-0.358,-5.984,-1.679,0.161,0.218,1.367,1.222,0.045,0.022,0.340,-0.588,0.010,-0.356,0.115,0.045,0.023,0.474,-0.100,0.017,0.000,-0.000
111.635,-3.969,126.405,100.448,-120.000,-261.887,a_5,-0.489,0.634,-0.255,-0.334,-0.343,-5.658,-1.651,-0.467,0.326,0.644,1.231,0.642,0.094,1.375,-1.164,0.043,-0.152,0.180,0.070,0.111,0.618,-0.403,0.071,-0.000,-0.000
97.273,-3.900,140.000,58.536,-59.660,283.848,a_5,-0.450,0.748,0.728,0.953,-0.298,5.907,1.595,-0.635,0.309,-0.414,1.048,-0.699,0.058,-0.354,-1.633,-0.084,0.215,0.238,0.090,-0.234,-1.299,0.477,0.105,-0.000,-0.000
