q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
15.186,24.268,138.225,-99.867,102.657,-13.480,d_6,-0.468,0.186,-0.365,0.210,0.207,0.115,0.310,0.296,-0.203,0.352,0.224,-0.043,0.272,-0.014,0.032,0.032,-0.102,-0.040,0.001,-0.004,0.020,-0.067,0.002,-0.000,-0.000
15.184,24.252,138.424,-99.204,103.189,-13.265,d_6,-0.468,0.187,-0.360,0.211,0.207,0.120,0.321,0.284,-0.191,0.341,0.238,-0.038,0.254,-0.008,0.030,0.028,-0.101,-0.039,0.001,-0.004,0.019,-0.067,0.003,0.000,-0.000
12.966,23.969,142.094,-87.239,110.715,-59.741,d_6,-0.326,0.002,0.263,0.002,-0.605,0.233,-0.203,-0.128,-0.100,0.125,-0.216,-0.141,-0.127,0.012,0.012,-0.154,-0.085,0.040,0.007,-0.021,-0.048,0.101,0.014,0.000,-0.000
16.184,21.309,150.423,-134.289,85.021,179.046,d_6,-0.299,0.045,0.491,0.050,-1.178,-0.063,0.054,-0.482,0.411,0.735,0.021,-0.126,-0.517,0.115,0.084,-0.043,0.022,-0.002,0.048,0.023,0.034,-0.088,0.004,-0.000,-0.000
16.032,21.329,150.310,-133.671,88.090,-173.422,d_6,-0.299,0.032,0.488,0.036,-1.172,-0.012,-0.006,-0.484,0.414,0.727,-0.031,-0.135,-0.512,0.143,0.083,-0.037,0.003,-0.002,0.048,0.021,0.031,-0.079,0.002,0.000,-0.000
14.639,24.612,134.905,-141.614,85.424,179.909,d_6,-0.277,-0.047,-0.476,-0.053,0.948,-0.040,0.211,0.480,-0.194,1.071,-0.019,-0.038,0.719,-0.193,0.010,0.063,0.011,-0.022,-0.006,-0.000,-0.000,0.001,-0.000,-0.000,-0.000
14.650,-7.710,122.120,-24.410,90.000,-14.640,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.666,20.575,115.287,-2.565,93.404,-21.479,d_6,-0.254,-0.059,0.458,-0.067,-0.144,0.057,-0.156,-0.457,0.524,-0.578,0.156,-1.315,-0.351,-0.223,0.506,-0.385,0.074,0.120,-0.037,-0.000,0.000,-0.001,-0.000,0.000,-0.000
14.650,-7.710,122.120,-24.410,90.000,-14.640,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
44.440,-7.710,122.120,-24.410,90.000,-176.949,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
38.440,23.330,134.450,23.580,-25.330,-176.949,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
17.750,15.880,139.530,24.590,-97.260,-176.949,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
14.656,24.572,133.410,46.356,-82.155,-176.949,d_6,-0.225,0.079,0.494,0.089,-1.166,-0.077,-0.049,1.489,0.375,0.758,0.009,0.200,0.633,-0.119,-0.083,0.008,0.017,-0.005,-0.009,0.000,0.000,-0.000,0.000,0.000,-0.000
