q1,q2,q3,q4,q5,q6,index,d
14.64961664,-7.71160046,122.11200976,-24.40773638,89.99830769,-14.64096852,-2.00000000,-1.00000000
44.45430194,-7.70894762,122.11682922,-24.40913374,89.99933872,-14.63937068,-1.00000000,-1.00000000
38.43708731,23.33559234,134.45027606,23.58444188,-25.33902236,-179.91549501,-1.00000000,-1.00000000
17.74403335,15.88022844,139.53161339,24.59238218,-97.26927051,-179.90809525,-1.00000000,-1.00000000
13.64909308,25.11503951,139.45025402,16.04376798,-61.34151953,-179.90788625,5.00000000,103.40000000
14.73006189,23.63961754,141.45356123,-90.08908255,115.20975281,-73.82594374,6.00000000,32.50000000
14.73325790,23.63551601,141.45675836,-90.07374380,50.25764816,73.79017372,6.00000000,31.80000000
14.68302760,24.18350332,140.01729664,-91.28754193,84.52342322,-0.08397719,6.00000000,67.75000000
14.68346001,24.19161301,139.99386030,-91.51391027,79.67120738,6.95167140,6.00000000,68.40000000
14.65038188,-7.71224800,122.11029467,-24.40393270,89.99739354,-14.64073932,-2.00000000,-1.00000000
44.45427167,-7.70871652,122.11641177,-24.40970843,89.99879724,-14.63983084,-1.00000000,-1.00000000
38.43696628,23.33463064,134.44926987,23.58302278,-25.33930113,174.71961415,-1.00000000,-1.00000000
17.74449643,15.87971848,139.53112972,24.59154000,-97.26769301,174.71419133,-1.00000000,-1.00000000
14.29691405,24.66354590,138.08903266,17.25425787,-87.47271367,174.71508634,6.00000000,81.10000000
9.29513912,3.27626357,137.05761158,41.08014234,-120.91012188,174.71423849,-3.00000000,-1.00000000
9.30032276,3.28028317,137.06059811,41.07284238,-120.90042892,-176.10448322,-3.00000000,-1.00000000
14.24329328,24.62941662,138.09150988,17.33703606,-82.53242569,-176.09576286,6.00000000,81.35000000
14.64970973,24.05313268,141.17972989,-147.99476475,90.91755200,-174.42660078,8.00000000,131.80000000
14.65039893,24.05182662,141.17866141,-144.94462633,102.96045548,-154.76379146,8.00000000,127.50000000
14.64897152,24.05185684,141.17967879,-139.45451680,74.79209407,161.24230796,8.00000000,118.25000000
14.64927575,24.05211005,141.17978688,-139.37179422,107.51237404,-145.56909530,8.00000000,118.30000000
14.65066893,24.05130676,141.18023063,-138.26356462,82.19098818,173.17983678,8.00000000,116.40000000
14.64910732,24.05197984,141.17988444,-133.66829375,101.42850278,-156.28766099,8.00000000,108.70000000
14.64918602,24.05240332,141.17986389,-130.35110267,112.12529593,-133.78408399,8.00000000,102.75000000
14.64984427,24.05243391,141.17925680,-122.15631877,116.69572399,-117.38839306,8.00000000,88.50000000
14.65027782,24.05235226,141.18021895,-130.83510714,81.57447627,-112.26246758,9.00000000,139.50000000
14.65049685,24.05186576,141.17916893,-127.18427612,81.66266326,-104.81403733,9.00000000,137.60000000
14.65020906,24.05304265,141.17915251,-133.82729231,80.35392542,-121.61757440,9.00000000,139.75000000
14.64952560,24.05173373,141.17969820,-140.19894201,65.92401752,179.90923831,9.00000000,125.60000000
14.64990517,24.05191976,141.17971089,-136.61815528,106.73256633,-179.90776145,9.00000000,126.75000000
14.64923190,-7.71234608,122.10816828,-24.40219473,89.99766493,-14.64008020,-2.00000000,-1.00000000
44.45628915,-7.70854665,122.11907015,-24.40820025,89.99987567,-14.64010365,-1.00000000,-1.00000000
38.43665292,23.33819573,134.45228787,23.58448939,-25.33999953,-148.00656408,-1.00000000,-1.00000000
17.74530246,15.88073173,139.53119089,24.59267370,-97.26893212,-148.00020357,-1.00000000,-1.00000000
21.24144184,26.88218207,132.81939497,29.55441319,-48.04042845,-148.00032252,9.00000000,45.10000000
9.29477853,3.27779925,137.05980108,41.07323995,-120.90937175,-148.00013941,-3.00000000,-1.00000000
9.29936631,3.28037087,137.06003295,41.07092037,-120.90033912,164.19531226,-3.00000000,-1.00000000
7.15977922,31.92550601,129.03508406,23.90694838,-116.89943108,164.18991050,9.00000000,33.50000000
14.64912315,-7.71308477,122.10810070,-24.40219409,89.99850349,-14.63993575,-2.00000000,-1.00000000
-1.86348858,44.69388815,141.65058257,-141.08406592,114.08629565,38.20983176,10.00000000,79.80000000
-1.06152726,44.41344795,139.24816647,-136.22835122,110.09019847,55.33491965,10.00000000,57.30000000
-1.15902373,44.69265397,142.12641463,-140.29116785,113.93233708,33.07519323,10.00000000,76.10000000
14.64852439,-7.71268231,122.10806739,-24.40187321,89.99881732,-14.64038428,-2.00000000,-1.00000000
24.93123350,35.18347932,150.12622861,-115.37568370,57.14747266,-12.01059400,10.00000000,47.10000000
24.74657751,35.32153915,150.43997874,-118.36749942,53.87154121,-0.37880170,10.00000000,54.35000000
24.94970080,35.18747228,148.92032523,-110.57288048,59.89548277,-26.44804679,10.00000000,33.50000000
25.28303491,32.05942251,137.91137735,-127.75029864,50.15141413,179.90935594,10.00000000,63.65000000
14.64996320,-7.71321409,122.10821683,-24.40240201,89.99915842,-14.64009003,-2.00000000,-1.00000000
14.94444467,24.69146785,-28.65070811,81.34292481,79.10865468,-55.91781598,10.00000000,801.05000000
14.65025389,-7.71265950,122.10811571,-24.40270210,89.99947940,-14.64010150,-2.00000000,-1.00000000
14.65026036,24.05204462,122.59513656,-49.72352591,67.17500248,146.08736421,11.00000000,45.85000000
14.64945517,24.05180849,122.49467313,-49.55398620,68.07868267,147.62720568,11.00000000,46.90000000
14.64908332,24.05046353,122.20298077,-49.20068981,71.67084243,153.52234378,11.00000000,50.75000000
14.64899412,24.05214148,145.44457974,-92.43429869,91.97282769,-8.10843455,11.00000000,40.05000000
14.65085291,-7.71331859,122.10895639,-24.40303038,89.99831882,-14.64053649,-2.00000000,-1.00000000
45.01100672,9.89992331,101.33128155,-109.39673779,-4.77225352,-48.38528927,-1.00000000,-1.00000000
14.81257946,24.50863573,84.07307512,-179.90832930,-83.37871123,-76.40096422,11.00000000,296.60000000
14.61182145,23.96934067,117.62923598,-20.83365815,104.79454296,-97.98186324,12.00000000,32.85000000
14.54598111,23.98957937,110.07773215,8.39992677,62.71681799,61.36516472,12.00000000,30.90000000
14.64546956,24.09863347,127.41397214,-70.77725243,77.89628356,-152.47941000,12.00000000,65.05000000
14.64914679,24.05251277,124.20715719,-59.37607422,68.91120198,179.90831012,12.00000000,60.35000000
14.58869422,24.06020284,120.15676517,-44.63221029,69.47283323,179.90883270,12.00000000,65.85000000
14.64930941,24.05267162,144.35196364,-87.35139453,91.41050196,3.66748694,12.00000000,35.05000000
14.74091704,24.17244176,123.57428584,-61.35038731,100.22638152,-179.90795622,12.00000000,66.85000000
14.65061725,-7.71298681,122.10868219,-24.40169339,89.99718418,-14.63985838,-2.00000000,-1.00000000
45.00988683,9.89975442,101.33063531,-109.39754206,-4.77247640,-48.38469330,-1.00000000,-1.00000000
14.43310803,23.89618159,92.19486554,-179.90838666,-80.05978245,94.21910483,12.00000000,288.10000000
14.64963288,-7.71223704,122.10820340,-24.40326128,89.99814357,-14.63957054,-2.00000000,-1.00000000
14.64938188,24.05269569,-28.64399890,85.56651293,98.34964849,69.17630377,13.00000000,800.05000000
14.64960599,24.05258324,-28.65044905,85.33879512,97.78471790,93.54968711,13.00000000,802.35000000
14.64910627,24.05127434,-11.31748364,76.84280243,99.29386971,40.78340205,13.00000000,752.90000000
14.64934966,24.05436549,-0.30001286,66.67376136,97.76311152,77.38104542,13.00000000,731.95000000
14.64939645,24.05181344,0.65346824,59.76447236,95.58062175,52.75002457,13.00000000,740.30000000
14.65011929,24.05352142,-14.61868314,62.47803929,79.96220836,77.28772936,13.00000000,783.00000000
14.63520234,24.08611967,0.02417922,77.88850491,88.81416220,59.28215571,13.00000000,690.85000000
14.65651170,24.04528814,4.74594130,65.68153747,100.17580955,21.06526966,13.00000000,700.60000000
14.64905069,-7.71303845,122.10885260,-24.40173780,89.99915790,-14.64048299,-2.00000000,-1.00000000
8.26307511,-29.44402421,117.22065216,-25.02873491,98.82660093,17.81217073,14.00000000,474.70000000
8.65350498,-27.28276640,122.38085125,-35.07668177,89.04146401,33.60158734,14.00000000,434.80000000
8.60980877,-26.00282403,122.95405010,-24.33633744,105.99548705,-2.23671495,14.00000000,390.30000000
8.13224412,-29.80223236,103.10311956,-9.41384093,99.15224935,28.16148598,14.00000000,566.70000000
8.59027061,-27.26809538,106.46227472,-17.51918673,82.01808138,60.79960418,14.00000000,521.40000000
9.92492498,-22.02311558,128.49469189,-34.62288435,102.43672150,-10.94364231,14.00000000,337.60000000
11.51618250,-5.53220299,135.26834169,-55.49112989,99.79847407,-14.29285569,14.00000000,215.80000000
8.57780870,-27.96374924,105.92272961,-16.19337741,100.45562230,-41.04084941,14.00000000,534.10000000
10.13522490,-15.77136401,98.53479599,-16.28351586,105.82337203,-143.00920709,14.00000000,481.70000000
14.64922528,-7.71300247,122.10874626,-24.40253660,89.99839057,-14.63977032,-2.00000000,-1.00000000
-3.09117406,43.65830103,-14.17996948,61.74329822,99.18167482,67.35421067,15.00000000,642.35000000
-3.92898080,41.35698894,-8.79621698,71.25618305,108.66278655,55.40448225,15.00000000,624.90000000
-2.45036249,43.24367846,-10.55255422,83.32480237,102.67999465,49.49487052,15.00000000,578.20000000
-2.70156591,41.23903701,-5.66032321,58.99301953,91.07558146,88.73978096,15.00000000,617.35000000
3.50338743,44.69284692,-21.69512109,68.77656602,109.73146771,-61.61885232,15.00000000,626.50000000
-7.21923116,33.05513828,13.41084935,47.67850171,108.44276912,92.91124614,15.00000000,636.40000000
3.64086683,44.69350779,-17.72423742,70.90849594,113.33658468,-78.41091536,15.00000000,599.80000000
16.05618673,16.10408835,135.74429114,-84.53497857,98.83363651,-99.71869664,15.00000000,96.95000000
1.92306636,26.96381521,127.14969853,-61.86290934,103.61980847,85.50503051,15.00000000,34.05000000
14.64970994,-7.71274081,122.10882097,-24.40221800,89.99877243,-14.63992735,-2.00000000,-1.00000000
15.10191857,-28.98395209,118.04541623,-27.09292213,87.03052684,-43.05168146,16.00000000,461.30000000
15.43986139,44.69246578,-14.42327126,65.18625679,81.73460044,107.16146953,16.00000000,609.25000000
21.08158072,44.70033311,-32.21967956,85.47860346,89.64451162,57.09569235,16.00000000,646.65000000
16.25679829,44.69287228,-54.21929061,99.15587973,84.05122585,77.32312588,16.00000000,654.20000000
14.64956814,-7.71304076,122.10863503,-24.40190246,89.99893992,-14.64060549,-2.00000000,-1.00000000
45.00828306,9.89985716,101.33070459,-109.39758339,-4.77250193,-48.38484211,-1.00000000,-1.00000000
14.86152307,-2.86249489,77.87457101,-179.90858544,-75.44622892,-161.61741801,16.00000000,515.00000000
14.84233012,-1.99211638,79.69770752,-179.90798931,-90.05429684,-166.79941055,16.00000000,499.75000000
14.64975845,-7.71355244,122.10758764,-24.40208092,89.99840698,-14.64043899,-2.00000000,-1.00000000
49.99991029,-30.00545879,54.98613529,47.00567930,77.99669463,180.01179165,-1.00000000,-1.00000000
103.55005795,-50.01519769,-11.75410376,103.01586249,66.99581960,179.99992639,-1.00000000,-1.00000000
129.48808326,-30.43211760,-14.96196252,141.46086435,61.56556709,-6.21636694,19.00000000,633.45000000
129.48771194,-31.06759632,-19.44439442,129.35056138,73.36900758,-18.85871706,19.00000000,652.90000000
129.48783008,-32.67748257,-12.57215149,125.42881221,63.42199812,0.73164822,19.00000000,669.35000000
129.48711763,-30.70876820,-5.39134614,141.53628896,73.74483877,-21.44446187,19.00000000,644.10000000
129.48764453,-24.72390679,-37.87141171,142.22391270,64.43914519,-16.12042742,19.00000000,613.55000000
129.48771031,-20.03817036,-53.11752249,152.68495511,65.68950253,-31.22171327,19.00000000,565.10000000
129.48750340,-31.16197248,-16.45033989,132.00503182,90.64674750,-68.50710992,19.00000000,634.25000000
129.48682963,-13.77671630,-74.98881795,170.51146193,63.46257678,-58.42555343,19.00000000,476.85000000
14.64955224,-7.70973624,122.11480839,-24.41120215,89.99851674,-14.63889863,-2.00000000,-1.00000000
-20.82682141,28.26232950,-30.61950935,78.38611660,116.43333388,76.70621010,20.00000000,832.15000000
-15.10332192,21.25786668,5.74900789,50.66023673,117.55391092,-179.90751268,20.00000000,764.25000000
53.22243164,-1.72582174,25.77524357,62.63884776,89.48535104,-75.97929344,20.00000000,789.80000000
41.08520962,0.09533504,34.31922600,36.80553580,71.41484304,160.89399988,20.00000000,768.60000000
