q1,q2,q3,q4,q5,q6,index,a_6,alpha_6,theta_6,a_5,alpha_5,d_6,d_5,theta_5,a_4,alpha_4,d_4,theta_4,a_3,alpha_3,beta_3,theta_3,a_2,alpha_2,beta_2,theta_2,a_1,alpha_1,d_1,theta_1
14.950,23.830,139.020,-73.094,89.290,-0.645,0.000,-0.520,0.011,-0.038,-0.010,-0.001,-0.050,0.000,0.043,0.001,0.023,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.950,23.830,139.020,-73.080,89.764,-28.074,0.000,-0.429,-0.002,0.028,0.008,-0.000,0.024,0.000,-0.040,-0.001,-0.022,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
