q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,a_5,theta_6,alpha_6,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.631,23.389,-10.250,66.911,141.186,57.713,1.000,-0.117,0.224,-0.488,-0.007,0.710,0.253,0.484,1.964,0.006,0.171,0.292,-2.714,0.374,1.143,1.918,-0.082,0.002,0.032,0.005,-0.000,-0.001,0.003,-0.000,0.000,-0.000
14.094,23.685,141.405,-81.206,71.122,48.626,2.000,-2.215,0.023,0.309,-0.924,-0.148,0.026,-0.177,0.301,-0.043,0.021,0.102,-0.049,0.010,-0.033,-0.003,0.059,0.018,0.022,-0.000,-0.004,0.000,0.017,-0.008,0.000,-0.000
14.849,23.747,141.490,-80.130,97.449,-55.063,2.000,-2.150,-0.021,0.145,-0.568,0.049,-0.024,-0.016,-0.216,-0.053,0.022,-0.089,0.025,0.007,0.035,-0.001,0.024,-0.026,-0.012,0.003,0.002,0.004,-0.005,-0.003,0.000,-0.000
15.183,23.286,141.740,-91.558,95.345,-129.393,2.000,-1.924,-0.048,0.276,-1.269,0.058,-0.055,0.477,-0.293,-0.256,0.110,-0.131,0.041,0.037,0.048,-0.004,0.039,0.000,-0.018,0.012,0.009,0.008,-0.012,-0.002,-0.000,-0.000
15.171,23.260,141.723,-92.699,94.247,-138.184,2.000,-1.919,-0.043,0.288,-1.326,0.049,-0.049,0.533,-0.254,-0.277,0.122,-0.107,0.038,0.039,0.043,-0.004,0.035,0.004,-0.016,0.013,0.009,0.008,-0.012,-0.002,0.000,-0.000
15.077,23.340,141.572,-94.108,92.654,-149.839,2.000,-1.913,-0.028,0.305,-1.391,0.033,-0.031,0.597,-0.189,-0.302,0.138,-0.073,0.032,0.039,0.029,-0.005,0.025,0.008,-0.012,0.012,0.007,0.006,-0.010,-0.001,0.000,-0.000
14.880,23.567,141.343,-95.444,91.794,-159.170,2.000,-1.910,-0.024,0.323,-1.437,0.022,-0.027,0.636,-0.122,-0.322,0.152,-0.043,0.020,0.032,0.011,-0.005,0.014,0.003,-0.006,0.008,0.004,0.003,-0.005,-0.000,0.000,-0.000
14.867,23.357,141.575,-95.557,91.498,-161.213,2.000,-1.908,-0.025,0.324,-1.443,0.019,-0.028,0.643,-0.105,-0.324,0.153,-0.032,0.018,0.035,0.010,-0.005,0.017,-0.007,-0.007,0.012,0.004,0.003,-0.005,-0.000,0.000,-0.000
14.803,23.111,141.753,-96.183,88.081,-177.427,2.000,-1.898,0.012,0.335,-1.489,-0.017,0.013,0.678,0.014,-0.331,0.160,0.050,0.008,0.042,-0.001,-0.005,0.019,-0.012,-0.003,0.016,0.003,0.002,-0.003,0.000,0.000,-0.000
15.583,23.891,140.676,-85.518,116.127,-50.336,2.000,-1.234,0.034,-0.416,0.771,0.209,0.038,0.314,0.323,0.027,0.139,0.289,0.046,0.043,0.015,0.006,-0.082,-0.076,-0.026,0.005,-0.001,0.020,-0.088,0.012,0.000,-0.000
14.113,29.756,142.027,9.328,-81.609,-171.132,2.000,-0.988,0.059,0.711,-1.554,-0.057,0.066,0.137,-0.191,1.225,0.720,-0.019,-0.200,-0.505,0.054,0.102,-0.162,0.117,0.030,-0.097,-0.009,-0.006,0.012,-0.001,0.000,-0.000
14.693,29.023,143.333,9.262,-84.871,179.909,2.000,-0.981,0.160,0.714,-1.557,-0.087,0.180,0.136,-0.073,1.228,0.730,-0.046,-0.226,-0.501,0.102,0.111,-0.138,0.172,0.023,-0.085,0.001,0.000,-0.001,0.000,0.000,-0.000
14.625,25.295,129.627,-136.613,85.680,-178.747,2.000,-0.817,-0.088,-0.738,1.473,-0.019,-0.099,-0.160,0.244,0.741,0.904,-0.003,-0.201,1.253,-0.332,0.071,0.161,0.015,-0.055,-0.008,0.000,-0.001,0.004,-0.000,0.000,-0.000
14.258,25.618,129.466,-135.376,75.213,168.206,2.000,-0.812,-0.166,-0.738,1.484,-0.068,-0.187,-0.139,0.229,0.732,0.889,-0.165,-0.241,1.258,-0.385,0.072,0.188,0.077,-0.045,-0.010,0.001,-0.018,0.055,-0.000,0.000,-0.000
30.198,30.006,132.939,-27.406,-0.000,146.172,2.000,-0.485,-0.047,0.349,-1.500,-0.030,-0.053,0.552,0.404,0.613,0.176,1.518,0.867,0.056,1.528,0.009,-0.933,1.441,-0.245,-0.027,0.223,0.153,-0.352,0.135,0.000,-0.000
-1.201,36.006,126.371,-47.595,179.886,-162.064,2.000,-0.389,0.094,0.000,-1.201,-0.160,0.106,0.538,-0.289,0.414,0.013,-1.665,-0.740,-0.405,-1.651,-0.032,-0.800,-1.287,0.364,-0.180,-0.264,-0.136,0.382,0.035,-0.000,-0.000
-1.247,35.613,126.287,-44.695,179.909,-161.131,2.000,-0.389,0.118,0.000,-1.203,-0.201,0.133,0.524,-0.363,0.454,0.020,-1.649,-0.725,-0.357,-1.665,-0.039,-0.781,-1.308,0.356,-0.174,-0.265,-0.136,0.383,0.035,0.000,-0.000
13.268,48.484,131.607,179.909,111.907,-142.090,2.000,-0.387,0.272,-0.666,1.087,0.108,0.306,-0.912,0.268,0.582,1.265,0.239,0.165,0.145,0.692,0.057,1.819,0.473,-0.772,-0.351,-0.008,-0.054,0.172,-0.004,0.000,-0.000
15.164,22.879,142.353,-88.409,52.519,59.227,3.000,-2.054,-0.001,0.003,-0.006,-0.602,-0.001,0.080,0.039,-0.093,0.208,0.010,0.039,-0.077,-0.014,0.000,-0.086,-0.033,0.017,0.017,0.005,0.019,-0.057,0.002,-0.000,-0.000
17.611,21.130,136.301,22.568,-111.048,90.932,3.000,-0.572,0.271,0.000,-0.085,-1.150,0.306,0.139,-1.249,1.221,0.244,0.427,0.149,0.593,0.313,-0.065,-0.196,0.196,0.014,0.053,0.038,0.055,-0.174,0.024,0.000,-0.000
12.640,25.663,135.449,18.888,-54.103,-111.961,3.000,-0.469,-0.276,0.000,-0.171,0.958,-0.311,0.196,1.248,1.320,0.329,-0.497,-0.015,0.306,-0.466,-0.044,-0.095,-0.001,0.062,-0.023,-0.029,-0.051,0.118,0.009,0.000,-0.000
13.702,25.864,135.810,25.952,-53.654,-144.272,3.000,-0.452,-0.348,-0.000,-0.360,1.087,-0.392,0.291,1.662,1.361,0.418,-0.659,0.027,0.290,-0.409,-0.038,-0.035,0.097,0.041,-0.028,-0.013,-0.025,0.056,0.005,0.000,-0.000
14.221,23.856,141.842,-82.470,80.735,29.093,5,-2.070,-0.173,0.132,-0.557,-0.092,-0.195,-0.167,0.333,0.001,0.053,0.096,-0.023,-0.037,-0.065,-0.002,0.031,0.046,0.023,-0.002,-0.000,-0.005,0.030,-0.006,0.000,-0.000
14.188,23.836,141.939,-83.220,87.326,26.084,5,-2.058,-0.122,0.034,-0.444,-0.024,-0.137,-0.093,0.366,0.006,0.058,0.106,-0.023,-0.043,-0.074,-0.003,0.032,0.053,0.026,-0.002,0.000,-0.005,0.032,-0.007,0.000,-0.000
14.215,23.846,141.924,-82.996,88.570,23.806,5,-2.057,-0.107,0.013,-0.403,-0.012,-0.121,-0.079,0.355,0.008,0.056,0.103,-0.020,-0.042,-0.072,-0.003,0.030,0.052,0.025,-0.002,0.000,-0.005,0.030,-0.007,-0.000,-0.000
13.740,23.667,142.351,-87.782,91.657,46.606,5,-1.987,-0.141,0.000,-0.604,0.012,-0.159,0.001,0.572,-0.025,0.092,0.172,-0.060,-0.066,-0.121,-0.003,0.068,0.072,0.046,-0.003,-0.003,-0.010,0.061,-0.013,-0.000,-0.000
15.203,25.698,133.145,21.157,-99.812,107.218,5,-1.832,1.120,0.001,-0.623,1.491,1.262,0.940,3.217,0.873,-0.134,-0.842,0.135,0.531,-1.092,-0.024,0.143,0.208,0.021,-0.019,0.004,0.019,-0.036,-0.008,0.000,-0.000
14.833,23.611,141.751,-81.302,88.099,-45.299,5,-1.643,0.104,0.001,-0.318,-0.016,0.117,0.062,-0.286,-0.028,0.051,-0.118,0.037,-0.021,0.061,-0.000,0.005,-0.060,-0.014,0.003,0.001,0.006,-0.012,-0.003,-0.000,-0.000
13.650,25.114,139.452,16.042,-61.342,-179.909,5,-1.338,-0.156,0.000,-0.733,1.085,-0.176,0.615,1.986,1.281,0.290,-0.637,-0.070,0.039,-0.158,-0.005,-0.056,0.042,0.037,-0.014,-0.014,-0.028,0.059,0.007,-0.000,-0.000
28.589,20.633,139.604,-14.493,-0.000,-44.523,5,-1.251,-1.409,0.308,-0.551,-1.398,-1.588,0.483,-2.872,-0.038,-0.345,0.820,0.388,0.033,-0.314,0.091,-1.497,-0.930,-0.141,0.077,-0.051,0.276,-0.959,0.204,-0.000,-0.000
17.681,20.430,144.482,-103.848,47.706,179.909,5,-0.963,1.145,0.000,-0.791,-0.476,1.289,0.536,-0.667,-0.347,0.336,-0.217,0.256,0.048,0.234,-0.007,0.093,-0.079,-0.070,0.057,0.044,0.084,-0.174,-0.011,0.000,-0.000
-1.934,27.537,129.472,-15.178,179.909,50.003,5,-0.923,1.280,0.254,-0.292,1.488,1.442,0.549,3.322,-0.145,-0.324,-0.711,-1.245,0.022,-0.485,0.141,-1.789,2.238,0.639,0.105,0.091,-0.393,1.261,0.233,0.000,-0.000
18.130,21.095,144.305,-105.987,35.081,121.916,5,-0.733,0.991,-0.141,0.027,-0.703,1.116,0.269,-0.534,-0.300,0.428,-0.160,0.286,-0.020,0.190,0.001,0.025,-0.047,-0.068,0.047,0.046,0.116,-0.270,-0.004,0.000,-0.000
