q1,q2,q3,q4,q5,q6,index,alpha_6,theta_6,a_6,a_5,alpha_5,d_6,theta_5,a_4,d_5,alpha_4,theta_4,beta_3,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,a_1,alpha_1,d_1,theta_1
15.563,23.036,140.154,-79.074,74.589,13.269,4.000,-0.274,-0.370,-0.329,-0.235,-0.254,0.090,0.090,0.023,0.090,0.002,-0.090,0.090,-0.090,-0.004,-0.057,-0.065,-0.010,0.003,-0.002,0.021,0.006,-0.075,0.000,-0.000
15.176,22.938,138.364,-78.827,112.760,-57.919,4.000,0.127,-0.387,-0.344,0.256,0.214,-0.090,0.090,-0.088,0.090,0.089,0.090,0.019,0.009,-0.009,-0.020,0.006,0.004,0.007,0.003,0.006,0.001,-0.020,0.000,-0.000
14.213,23.162,139.766,-79.665,114.208,-30.674,6.000,0.550,0.076,0.067,0.174,0.330,-0.370,0.332,-0.010,0.060,0.060,-0.053,-0.051,-0.060,-0.004,0.049,0.060,0.034,-0.003,-0.001,-0.013,-0.010,0.060,0.000,-0.000
14.216,23.173,139.770,-79.666,76.057,30.209,6.000,-0.550,-0.204,-0.181,-0.169,-0.210,0.184,0.331,-0.009,0.060,0.060,-0.053,-0.049,-0.060,-0.004,0.049,0.060,0.034,-0.003,-0.001,-0.013,-0.010,0.060,0.000,-0.000
14.275,23.421,139.903,-79.859,97.773,0.312,6.000,-0.010,0.067,0.059,0.075,0.026,-0.131,0.304,0.021,0.060,0.060,-0.056,-0.004,-0.060,-0.008,0.060,0.060,0.018,-0.004,0.002,-0.013,-0.009,0.059,0.000,-0.000
14.274,23.306,139.763,-78.931,95.931,8.099,6.000,-0.111,0.018,0.016,0.049,0.032,-0.104,0.297,0.014,0.043,0.060,-0.039,-0.017,-0.060,-0.006,0.060,0.060,0.022,-0.004,0.001,-0.010,-0.010,0.050,0.000,-0.000
15.000,23.204,140.021,-80.503,106.854,-47.525,7.000,-0.200,-0.200,-0.178,0.200,-0.009,0.088,-0.056,-0.099,0.080,-0.027,-0.080,-0.020,0.044,0.009,-0.002,-0.004,-0.001,0.002,0.001,0.002,-0.000,-0.005,0.000,-0.000
14.430,23.752,137.949,-78.339,88.460,-3.422,7.000,-0.002,-0.142,-0.126,-0.012,-0.077,-0.073,0.150,0.078,0.080,0.080,0.080,-0.074,0.064,0.009,0.052,0.080,0.001,0.001,0.006,-0.016,-0.002,0.057,0.000,-0.000
14.398,23.882,138.104,-78.566,95.150,-13.650,7.000,0.071,0.079,0.070,0.065,-0.028,-0.099,0.153,0.076,0.080,0.080,0.080,-0.062,0.067,0.005,0.069,0.080,-0.004,0.002,0.006,-0.017,-0.002,0.061,0.000,-0.000
15.965,20.908,141.764,-77.960,99.564,-40.775,7.000,-0.163,-0.200,-0.178,0.125,-0.014,0.068,-0.107,-0.072,0.057,0.054,-0.080,0.080,0.074,0.003,-0.048,-0.080,-0.005,0.041,0.014,0.029,-0.001,-0.078,0.000,-0.000
14.854,23.020,137.322,-76.504,83.198,-6.370,7.000,0.040,-0.188,-0.167,-0.082,-0.061,-0.085,0.004,0.072,0.080,-0.044,0.080,-0.080,-0.063,0.030,-0.047,0.017,0.017,-0.001,0.001,-0.003,0.000,0.010,0.000,-0.000
14.984,23.405,138.982,-84.094,95.037,-17.390,8.000,0.054,0.150,0.133,0.069,-0.150,-0.118,0.112,0.101,0.175,0.010,0.010,0.007,-0.003,-0.000,0.010,-0.010,-0.006,0.000,-0.000,0.002,0.000,-0.006,0.000,-0.000
14.880,23.372,138.910,-80.696,85.722,-5.922,8.000,-0.007,-0.131,-0.116,-0.060,-0.150,-0.074,0.064,0.078,0.124,-0.010,0.010,-0.010,0.003,0.001,0.003,0.010,0.001,0.000,0.000,-0.002,-0.000,0.007,0.000,-0.000
14.932,23.269,138.864,-78.231,92.785,-17.274,8.000,0.027,0.093,0.082,0.040,-0.077,-0.059,0.047,0.053,0.092,-0.006,0.010,-0.010,-0.005,0.003,-0.010,0.002,0.004,-0.000,0.000,-0.000,-0.000,0.001,0.000,-0.000
14.9,-5.5,121.5,-25.9,90,-14.9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
35,-5.5,121.5,-25.9,20,-14.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,15,72.562,-112.560,0,-67.332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21.967,31.089,72.562,-112.560,-58.540,-67.332,10.000,0.576,0.795,0.706,-0.193,-0.562,-0.717,-0.311,1.200,0.920,0.163,5.396,-1.200,-1.200,0.755,1.200,-0.907,-0.894,-0.045,-0.007,0.367,0.020,-0.970,0.000,-0.000
20.359,31.459,74.508,-115.386,-120.802,53.898,10.000,0.764,-1.200,-1.065,-0.373,-0.532,-0.879,-0.229,1.200,0.931,0.143,5.380,-1.200,-1.200,0.707,1.200,-0.673,-0.795,-0.053,-0.004,0.275,0.013,-0.755,0.000,-0.000
17.907,32.117,77.933,-120.476,-123.733,93.785,10.000,1.143,-1.200,-1.065,-0.308,-0.480,-0.881,-0.092,1.200,0.952,0.113,5.325,-1.200,-1.200,0.625,1.200,-0.307,-0.636,-0.065,-0.001,0.144,0.005,-0.419,0.000,-0.000
23.863,32.711,95.171,-141.165,-80.165,179.909,10.000,1.200,-0.042,-0.037,-0.596,-0.153,-0.641,-0.708,1.200,0.926,0.455,4.488,0.381,-0.297,0.354,1.200,-1.200,-1.167,-0.047,-0.002,0.452,0.050,-1.172,0.000,-0.000
14.9,-5.5,121.5,-25.9,90,-14.9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
20.759,28.668,101.448,44.991,37.728,52.998,10.000,0.431,0.898,0.797,0.245,1.200,-0.705,0.672,1.200,-0.249,0.449,3.876,1.011,0.522,0.010,0.267,-0.131,-0.490,-0.058,0.054,0.212,0.039,-0.586,0.000,-0.000
14.9,-5.5,121.5,-25.9,90,-14.9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24.952,18.019,106.559,50.531,37.757,53.283,10.000,0.445,0.952,0.845,0.280,1.200,-0.714,0.732,1.200,-0.243,0.330,3.870,0.890,0.081,0.054,-0.451,-0.176,-0.116,0.093,0.093,0.411,0.062,-1.004,0.000,-0.000
