q1,q2,q3,q4,q5,q6,index,d
14.64958191,-7.70896912,122.12060270,-24.41162109,90.00000000,-14.63996887,-2.00000000,-1.00000000
129.48760986,-30.43350220,-14.96063232,141.45996094,61.56669617,-6.21757507,19.00000000,-1.00000000
129.48760986,-31.06933594,-19.44236755,129.35165405,73.36875915,-18.85734469,19.00000000,-1.00000000
129.48760986,-32.67951965,-12.56973267,125.42884827,63.41926574,0.69809700,19.00000000,-1.00000000
129.48760986,-30.70884705,-5.38879395,141.54871741,73.75190744,-21.44737272,19.00000000,-1.00000000
129.48760986,-24.72679138,-37.87743866,142.22282410,64.43893433,-16.12243652,19.00000000,-1.00000000
129.48760986,-20.03974915,-53.04287887,152.68661499,65.69068909,-31.16012313,19.00000000,-1.00000000
129.48760986,-31.16615296,-16.44102748,131.95310752,90.72979431,-68.52116391,19.00000000,-1.00000000
129.48760986,-13.77135372,-75.00850959,170.77982181,63.37544617,-58.42666626,19.00000000,-1.00000000
129.48760986,-45.80131531,5.04341125,109.39292908,74.97276306,-32.28332520,19.00000000,-1.00000000
