q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
18.579,-24.466,91.525,-179.909,-81.469,-71.802,8.000,-0.117,0.287,0.188,-0.669,-0.128,0.323,-1.029,1.731,-0.981,0.876,0.022,-1.376,3.903,-1.963,0.653,-5.068,-0.601,1.777,0.501,0.042,0.148,-0.386,0.009,0.000,-0.000
67.617,-10.108,120.025,-179.909,-44.365,-100.828,8.000,-0.110,0.004,0.259,-0.695,-0.436,0.004,-1.608,1.366,-0.440,0.832,-0.239,0.716,2.763,-0.423,0.573,-4.096,-0.180,1.644,0.287,0.295,3.292,-3.517,0.558,0.000,-0.000
61.914,-17.226,113.934,-179.909,-50.300,-92.299,8.000,-0.108,0.105,0.219,-0.672,-0.345,0.118,-1.461,1.469,-0.576,0.844,-0.484,0.301,3.099,-0.789,0.617,-4.192,-0.079,2.285,0.321,0.331,3.033,-3.473,0.418,0.000,-0.000
112.220,18.577,-159.855,85.124,-42.979,129.655,8.000,-0.106,-0.108,0.259,-0.645,-0.045,-0.122,0.963,1.386,-0.168,0.961,-1.270,0.209,1.858,0.955,0.209,0.626,1.938,-0.833,0.364,0.615,7.539,-2.982,0.868,0.000,-0.000
109.000,24.834,-158.617,73.889,-39.767,135.319,8.000,-0.104,-0.115,0.259,-0.655,0.003,-0.130,0.971,1.380,-0.075,0.952,-1.210,-0.236,1.780,1.269,0.285,1.286,2.238,-1.321,0.334,0.627,7.268,-3.110,0.826,0.000,-0.000
3.881,-34.083,99.789,-179.909,-96.915,179.909,8.000,-0.102,0.158,0.195,-0.450,-0.042,0.178,0.150,1.732,0.408,0.895,0.013,-1.867,2.406,-3.286,0.651,-6.750,-1.341,1.472,0.547,-0.119,-0.278,1.089,0.007,-0.000,-0.000
123.768,20.771,-152.305,84.902,-47.473,-179.909,8.000,-0.100,0.066,0.259,-0.573,-0.063,0.074,0.093,1.437,0.228,0.959,-0.721,-0.434,1.812,0.448,0.159,0.640,2.021,-0.784,0.413,0.545,8.438,-2.410,1.015,0.000,-0.000
16.069,-44.631,142.203,-59.737,96.588,172.504,8.000,-0.100,-0.153,0.259,-0.674,0.130,-0.172,0.564,-0.278,0.437,0.831,0.039,-0.673,-0.067,-2.291,0.077,-7.404,-0.812,2.301,0.634,0.017,0.046,-0.125,0.003,-0.000,-0.000
-7.587,-32.520,95.893,-179.909,-109.169,105.544,8.000,-0.100,-0.033,0.259,-0.664,0.012,-0.037,1.270,1.626,-0.577,0.964,0.057,-2.113,2.892,-4.587,0.607,-6.541,-2.265,0.830,0.583,-0.265,-0.339,2.061,0.065,0.000,-0.000
117.055,25.299,-150.849,70.994,-41.322,-179.909,8.000,-0.099,0.063,0.259,-0.574,0.023,0.071,0.239,1.398,0.236,0.955,-0.904,-0.983,1.732,0.712,0.292,1.457,2.649,-1.190,0.366,0.632,7.951,-2.731,0.903,0.000,-0.000
-8.625,-34.623,98.014,-179.909,-109.596,121.844,8.000,-0.099,-0.005,0.259,-0.622,-0.005,-0.006,1.117,1.626,-0.294,0.964,0.040,-2.038,2.612,-4.426,0.608,-6.821,-2.269,0.796,0.588,-0.277,-0.332,2.158,0.066,0.000,-0.000
74.288,-16.796,134.655,-179.909,-44.978,179.909,8.000,-0.099,-0.245,0.259,-0.543,-0.454,-0.276,-0.568,1.371,0.463,0.821,0.263,0.302,1.982,-1.435,0.571,-4.842,-0.086,2.226,0.237,0.275,3.887,-3.715,0.647,0.000,-0.000
110.483,36.451,-149.283,55.036,-42.114,-179.909,8.000,-0.098,0.074,0.259,-0.573,-0.036,0.083,0.139,1.381,0.227,0.960,-0.848,-1.597,1.736,0.999,0.457,2.375,2.971,-2.011,0.294,0.621,7.393,-3.053,0.846,0.000,-0.000
-71.094,44.691,-107.260,119.390,140.396,-179.909,8.000,-0.098,-0.034,0.259,-0.585,-0.030,-0.038,0.149,0.020,0.263,0.938,1.015,-3.393,0.136,-0.527,1.341,0.498,-1.099,4.369,0.019,-0.808,2.936,6.707,0.523,-0.000,-0.000
-42.785,-20.590,105.505,-179.909,-130.809,173.032,8.000,-0.098,0.214,0.259,-0.550,0.066,0.241,0.445,1.440,0.214,0.963,0.351,-2.591,1.850,-3.342,0.606,-6.329,-1.542,-0.413,0.416,-0.562,0.725,5.164,0.382,0.000,-0.000
-43.878,-20.586,106.192,-179.909,-130.899,178.223,8.000,-0.098,0.230,0.259,-0.550,0.067,0.259,0.348,1.436,0.221,0.963,0.381,-2.601,1.823,-3.235,0.606,-6.332,-1.510,-0.443,0.413,-0.570,0.790,5.245,0.391,0.000,-0.000
-47.571,-16.298,107.560,-179.909,-133.120,-168.346,8.000,-0.097,0.316,0.259,-0.545,0.101,0.356,0.153,1.408,0.205,0.959,0.390,-2.774,1.766,-2.989,0.605,-6.185,-1.147,-0.337,0.386,-0.569,0.993,5.529,0.459,-0.000,-0.000
129.488,12.758,-116.688,-151.718,51.865,68.633,8.000,-0.097,-0.246,0.259,-0.766,-0.225,-0.277,0.832,-0.087,-1.222,0.939,-1.024,0.289,-1.390,-0.936,0.260,-0.752,0.782,-0.181,0.421,0.383,8.801,-2.153,1.128,0.000,-0.000
106.388,37.587,-148.203,46.161,-37.999,-179.909,8.000,-0.097,0.038,0.259,-0.580,0.044,0.042,0.275,1.375,0.249,0.947,-0.923,-1.909,1.688,1.032,0.549,2.585,3.248,-2.136,0.245,0.654,7.056,-3.187,0.776,0.000,-0.000
-58.848,-13.276,111.143,-179.909,-134.629,-105.603,8.000,-0.095,0.462,0.259,-0.667,0.054,0.521,-0.755,1.385,-0.576,0.964,1.288,-3.378,2.116,-1.996,0.606,-5.715,-0.652,-0.351,0.367,-0.648,1.812,6.224,0.544,-0.000,-0.000
-50.775,8.408,95.559,178.178,-137.501,-27.034,8.000,-0.091,0.454,0.259,-0.832,0.168,0.511,-0.007,1.375,-1.796,0.939,1.683,-4.518,3.097,-2.830,0.578,-4.450,0.640,1.125,0.315,-0.509,1.142,5.808,0.570,0.000,-0.000
-50.424,-16.869,106.712,-179.909,-142.562,179.909,8.000,-0.091,0.418,0.259,-0.574,-0.058,0.471,0.104,1.414,0.310,0.911,0.328,-2.817,1.690,-2.954,0.654,-6.302,-1.084,-0.422,0.378,-0.582,1.178,5.727,0.490,0.000,-0.000
-43.934,-13.291,114.949,-37.778,136.863,-179.909,8.000,-0.090,0.467,0.259,-0.465,0.318,0.526,0.740,0.046,0.345,0.891,-0.262,-1.837,0.228,-2.992,0.645,-7.143,-0.662,-0.143,0.313,-0.387,0.651,5.392,0.573,0.000,-0.000
129.488,31.368,-159.855,81.857,-46.326,-65.861,8.000,-0.085,0.408,0.259,-0.767,0.026,0.459,-0.748,1.440,-1.308,0.961,-1.731,-1.727,3.139,1.023,0.175,2.158,3.488,-1.139,0.412,0.608,8.881,-1.978,1.025,0.000,-0.000
-47.697,-26.193,115.674,-28.949,143.074,-154.916,8.000,-0.085,0.332,0.259,-0.515,0.326,0.374,0.295,0.020,0.222,0.902,0.077,-1.547,0.042,-3.200,0.719,-7.823,-1.785,-0.703,0.330,-0.499,0.942,5.593,0.536,0.000,-0.000
-82.747,-15.659,92.134,-136.645,-137.308,179.861,8.000,-0.084,0.211,0.259,-0.559,0.000,0.237,0.205,1.374,0.218,0.965,0.613,-3.570,1.730,-2.319,1.134,-6.000,-0.037,-0.756,0.294,-0.682,3.861,7.153,0.815,-0.000,-0.000
-117.939,43.167,-78.332,134.443,127.545,-179.909,8.000,-0.082,0.065,0.259,-0.575,-0.138,0.074,-0.036,-0.052,0.237,0.954,0.913,-3.346,-0.004,0.191,1.222,1.478,-0.372,4.251,0.412,-0.725,7.218,6.706,1.073,0.000,-0.000
