q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,,,,,,,,,,,,,,,,,,,,,,
111.956,-6.965,123.195,-180.000,-80.967,-148.874,d_5,-0.559,0.429,1.044,0.798,-0.393,-1.088,-0.323,-6.158,1.844,-0.011,0.535,2.017,-0.324,-0.057,-0.835,0.091,0.481,0.296,0.180,0.143,0.125,-0.319,0.018,0.000,-0.000
112.408,-7.383,123.560,-180.000,-76.977,-127.531,d_5,-0.559,0.213,1.335,1.020,-0.376,-1.170,-0.335,-6.232,1.851,0.003,0.501,2.001,-0.268,-0.063,-0.852,0.098,0.511,0.298,0.187,0.149,0.172,-0.326,0.020,0.000,-0.000
112.313,-7.646,123.646,-180.000,-76.806,237.560,d_5,-0.559,0.155,1.377,1.052,-0.372,-1.196,-0.340,-6.249,1.852,0.041,0.496,1.999,-0.262,-0.064,-0.870,0.097,0.503,0.302,0.191,0.145,0.169,-0.318,0.020,-0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.439,2.304,126.751,-55.931,64.527,-279.758,a_5,-0.341,0.556,-0.862,-1.128,-0.192,-0.027,-0.348,0.057,0.252,-0.025,0.152,0.213,0.196,-0.249,-0.328,-0.010,-0.425,0.118,-0.016,0.067,-0.208,-0.206,0.002,-0.000,-0.000
106.272,4.757,136.203,51.602,-94.836,310.930,a_5,-1.309,-0.594,-1.633,-2.138,-0.060,-7.353,-1.968,-0.022,0.036,0.191,0.317,-0.024,0.004,-0.003,-0.060,0.001,-0.033,0.001,0.002,-0.003,0.053,-0.007,0.006,0.000,-0.000
105.124,5.074,136.049,50.909,-77.269,-303.986,a_5,-1.105,-0.220,1.674,2.192,-0.165,7.280,1.908,-0.017,0.073,-0.213,0.552,-0.058,0.008,-0.002,-0.126,-0.004,-0.014,0.003,0.002,-0.021,-0.016,0.025,0.013,0.000,-0.000
104.929,-0.391,138.384,62.843,-125.017,-271.557,a_5,-0.748,0.697,-0.341,-0.447,-0.387,-6.047,-1.702,-0.158,0.202,0.469,1.095,-0.080,-0.011,-0.046,-0.261,-0.008,-0.437,0.079,0.048,-0.010,0.444,0.058,-0.013,-0.000,-0.000
103.094,-1.129,139.505,46.190,-66.995,360.000,a_5,-0.660,0.255,1.899,2.486,-0.190,6.792,1.800,-0.647,0.237,0.293,0.735,-0.261,0.019,-0.059,-0.634,-0.023,0.445,0.131,0.053,-0.071,-0.973,0.090,0.042,0.000,-0.000
105.268,1.742,138.101,64.725,-49.987,-108.309,a_5,-0.644,0.931,0.191,0.250,-0.469,6.096,1.615,0.012,0.195,-0.846,1.234,-0.184,0.004,0.009,-0.335,-0.006,0.183,0.102,0.032,-0.023,-0.406,0.045,0.007,0.000,-0.000
107.286,-0.976,135.205,85.133,-120.000,-192.650,a_5,-0.573,0.120,0.398,0.521,-0.358,-5.984,-1.679,0.161,0.218,1.367,1.222,0.045,0.022,0.340,-0.588,0.010,-0.356,0.115,0.045,0.023,0.474,-0.100,0.017,0.000,-0.000
111.635,-3.969,126.405,100.448,-120.000,-261.887,a_5,-0.489,0.634,-0.255,-0.334,-0.343,-5.658,-1.651,-0.467,0.326,0.644,1.231,0.642,0.094,1.375,-1.164,0.043,-0.152,0.180,0.070,0.111,0.618,-0.403,0.071,-0.000,-0.000
97.273,-3.900,140.000,58.536,-59.660,283.848,a_5,-0.450,0.748,0.728,0.953,-0.298,5.907,1.595,-0.635,0.309,-0.414,1.048,-0.699,0.058,-0.354,-1.633,-0.084,0.215,0.238,0.090,-0.234,-1.299,0.477,0.105,-0.000,-0.000
118.273,1.426,108.793,136.123,-120.000,123.383,a_5,-0.357,0.780,0.080,0.105,-0.468,-5.691,-1.655,0.673,0.087,1.071,1.332,1.288,0.356,2.414,-1.202,0.040,0.703,0.070,0.023,0.380,-0.452,-1.082,0.154,0.000,-0.000
