q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
-22.000,6.000,31.000,43.000,110.000,50.000,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
-63.416,20.945,-61.716,94.311,141.562,52.554,20.000,1,-0.633,-0.045,-0.040,0.001,0.251,-1.081,1.449,0.049,0.842,2.018,-2.914,-0.480,-1.393,1.749,0.573,3.000,3.000,0.145,-0.561,3.000,8.111,0.288,0.000,-0.000
-63.163,20.884,-56.476,84.772,138.647,91.251,20.000,1,-0.496,-0.453,-0.402,-0.006,0.187,-0.539,1.537,0.070,0.886,1.867,-2.587,0.167,-1.094,1.794,0.731,3.000,3.000,0.138,-0.563,3.000,8.121,0.266,0.000,-0.000
-63.238,20.902,-59.491,79.740,130.551,72.656,20.000,1,-0.471,-0.493,-0.437,-0.020,0.020,-1.036,1.193,0.137,0.998,2.194,-2.705,-0.167,-1.252,1.773,0.683,3.000,3.000,0.140,-0.563,3.000,8.118,0.273,-0.000,-0.000
-63.234,8.439,-44.014,69.069,115.035,46.989,20.000,1,-0.457,-0.590,-0.524,-0.057,-0.262,-1.498,0.462,0.182,1.070,2.343,-2.997,-0.761,-1.336,1.800,-0.427,3.000,1.733,0.228,-0.592,3.000,8.032,0.242,0.000,-0.000
-63.389,-10.411,10.210,67.093,113.306,98.688,20.000,1,-0.399,-0.132,-0.117,0.123,-0.185,0.032,1.031,-0.014,0.634,1.233,-3.000,0.070,-1.457,1.826,-3.000,3.000,-0.199,0.299,-0.569,3.000,8.090,0.278,-0.000,-0.000
-63.344,-10.698,8.156,71.110,113.700,84.283,20.000,1,-0.431,-0.124,-0.110,0.127,-0.177,-0.196,1.056,-0.019,0.604,1.321,-3.000,-0.152,-1.522,1.834,-3.000,3.000,-0.227,0.299,-0.571,3.000,8.089,0.273,-0.000,-0.000
-63.322,-10.822,9.881,86.629,125.056,79.296,20.000,1,-0.514,0.206,0.183,0.115,0.016,0.165,1.357,-0.014,0.337,0.885,-2.949,0.017,-1.446,1.829,-3.000,3.000,-0.238,0.299,-0.571,3.000,8.088,0.271,0.000,-0.000
-63.370,-10.531,9.334,31.896,101.630,118.956,20.000,1,0.234,-0.436,-0.387,-0.160,-0.434,-0.585,0.201,0.239,1.124,1.651,-3.000,-0.024,-1.485,1.829,-3.000,3.000,-0.211,0.299,-0.570,3.000,8.090,0.276,-0.000,-0.000
-63.154,-11.983,1.530,58.726,111.339,45.930,20.000,1,-0.487,-0.429,-0.381,0.041,-0.255,-1.274,0.547,0.066,0.887,2.005,-2.966,-0.900,-1.711,1.853,-3.000,3.000,-0.350,0.301,-0.576,3.000,8.083,0.252,-0.000,-0.000
-63.155,-11.977,0.191,44.141,104.607,30.148,20.000,1,-0.437,-0.607,-0.539,-0.116,-0.396,-1.640,-0.003,0.207,1.091,2.129,-3.000,-1.038,-1.763,1.855,-3.000,3.000,-0.350,0.301,-0.576,3.000,8.083,0.252,-0.000,-0.000
-63.140,-12.082,-0.290,60.039,125.629,16.870,20.000,1,-0.632,-0.031,-0.027,0.040,-0.030,-1.552,0.492,0.069,0.894,2.100,-2.997,-1.094,-1.776,1.855,-3.000,3.000,-0.360,0.301,-0.577,3.000,8.082,0.250,-0.000,-0.000
