q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
23.304,4.056,-31.719,122.552,33.150,-93.015,10.000,1,-0.241,-0.335,-0.297,-0.449,-0.603,1.117,-1.253,0.045,-0.083,0.749,-7.233,0.265,-1.079,1.964,-1.513,-1.287,0.557,0.234,0.073,0.434,-0.960,-0.011,0.000,-0.000
32.718,-1.825,-23.825,98.164,34.766,-95.249,10.000,1,-0.441,0.130,0.115,-0.294,-0.674,0.556,-1.555,-0.100,0.274,-0.158,-7.209,0.103,-0.977,1.968,-1.615,-1.898,0.942,0.277,0.147,1.078,-1.946,-0.013,0.000,-0.000
38.911,53.120,-111.843,-17.984,-31.567,91.718,10.000,1,-0.215,-0.548,-0.487,-0.370,0.634,-1.428,1.779,1.427,1.357,-2.375,-7.035,2.500,0.214,1.842,2.483,2.500,-1.773,-0.487,0.256,1.425,-2.207,-0.009,0.000,-0.000
70.06,13.29,63.87,105.64,33.23,-89.88,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
12.680,19.881,-45.001,105.643,33.228,-89.880,10.000,1,-0.228,-0.030,-0.027,-0.490,-0.763,0.722,-1.513,-0.052,0.160,0.267,-7.288,0.223,-0.745,1.974,-0.521,-0.080,0.198,0.053,-0.013,-0.082,0.241,0.004,0.000,-0.000
9.621,20.321,-37.595,87.263,35.278,-56.682,10.000,1,-0.108,-0.297,-0.263,-0.490,-0.773,0.148,-1.472,-0.046,0.352,-0.153,-7.157,-0.213,-0.856,1.980,-0.679,0.219,0.336,0.046,-0.027,-0.198,0.646,0.012,0.000,-0.000
2.050,50.155,-49.912,62.426,43.788,-116.681,10.000,1,0.233,1.105,0.981,-0.542,-0.574,0.408,-1.126,0.083,0.504,-1.153,-7.179,1.294,-0.838,1.924,1.855,2.500,0.937,-0.259,-0.018,-0.414,1.721,0.055,-0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
35.000,-5.500,121.500,-25.900,20.000,-14.900,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
35.000,15.000,72.562,-112.560,0.000,-67.332,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
12.328,37.346,52.453,-150.958,-94.725,-0.631,11.000,1,-0.167,-0.109,-0.097,-0.130,-0.103,-0.719,0.098,1.874,0.488,0.073,-2.463,6.457,-1.498,0.968,1.500,0.544,-0.341,-0.119,-0.000,-0.100,0.324,-0.001,0.000,-0.000
13.057,37.059,49.151,-142.273,-84.236,-15.573,11.000,1,-0.142,0.206,0.183,-0.173,0.034,-0.759,0.093,1.828,0.560,0.073,-2.555,6.429,-1.500,1.032,1.500,0.441,-0.400,-0.116,-0.000,-0.070,0.222,-0.001,-0.000,-0.000
8.370,38.732,32.624,-137.400,-100.056,-3.836,11.000,1,-0.181,-0.079,-0.071,-0.110,-0.110,-0.724,0.031,1.897,0.479,0.165,-3.281,6.369,-1.363,1.260,1.448,1.068,0.009,-0.140,-0.004,-0.243,0.882,0.003,0.000,-0.000
7.564,38.609,47.890,-142.461,-126.307,20.087,11.000,1,0.151,-0.731,-0.649,-0.327,-0.487,-0.550,-0.283,1.833,0.546,0.384,-2.681,6.356,-0.973,1.034,1.478,1.141,0.054,-0.130,0.001,-0.265,1.002,0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
-4.773,32.828,100.099,4.374,98.742,179.909,12.000,1,-0.229,1.875,1.664,0.000,0.033,1.265,0.199,0.127,-0.092,-1.972,-2.239,1.357,-4.664,0.239,-2.000,2.000,1.007,0.088,-0.034,-0.440,1.371,0.290,-0.000,-0.000
-1.878,27.000,92.140,30.726,95.145,-65.048,12.000,1,-0.261,0.237,0.211,0.000,0.064,0.792,-0.259,0.074,-0.285,-0.313,-2.221,0.996,-5.946,0.428,-2.000,1.626,0.609,0.099,0.023,-0.405,1.204,0.248,0.000,-0.000
35,27.000,92.140,30.726,95.145,-65.048,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
35,32.721,84.771,128.334,-92.346,30.451,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-4.623,32.721,84.771,128.334,-92.346,30.451,12.000,1,-0.229,1.897,1.684,0.000,1.656,-0.146,3.243,0.965,0.121,0.069,-3.092,1.993,-6.553,0.312,-2.000,1.789,0.988,0.077,-0.056,-0.435,1.343,0.285,0.000,-0.000
-5.418,34.275,97.627,150.225,-90.912,-179.909,12.000,1,0.015,0.003,0.003,-0.000,1.667,0.385,2.976,0.986,0.426,-1.834,-2.486,1.548,-4.900,0.219,-2.000,2.000,1.115,0.075,-0.057,-0.443,1.401,0.296,0.000,-0.000
8.798,42.899,87.775,128.357,-87.383,-48.360,12.000,1,-0.276,-1.804,-1.601,0.000,-1.662,0.998,-3.104,0.962,-0.486,0.111,1.462,2.700,4.923,0.213,1.905,-1.385,-1.202,-0.083,0.020,-0.047,0.428,-0.086,0.000,-0.000
21.080,21.173,133.842,-56.980,78.298,25.271,14.000,1,-0.674,-0.508,-0.451,0.241,-0.096,-0.386,0.006,-0.069,0.085,0.386,-0.690,-0.371,0.954,0.113,-0.890,-0.100,0.100,0.019,-0.050,-0.054,-0.100,0.100,0.000,-0.000
21.080,21.173,133.551,-57.343,67.067,38.071,14.000,1,-0.876,-0.786,-0.698,0.390,-0.170,-0.479,0.049,-0.063,0.087,0.428,-0.702,-0.376,0.998,0.115,-0.890,-0.100,0.100,0.019,-0.050,-0.054,-0.100,0.100,0.000,-0.000
21.080,21.173,136.742,-61.037,94.656,-36.920,14.000,1,0.197,0.003,0.003,-0.012,-0.043,-0.126,-0.092,-0.059,0.088,0.167,-0.560,-0.326,0.516,0.088,-0.890,-0.100,0.100,0.019,-0.050,-0.054,-0.100,0.100,0.000,-0.000
8.295,26.050,135.469,-73.934,89.045,-96.160,14.000,1,-0.764,0.783,0.695,0.000,-0.049,-0.111,-0.127,-0.016,0.103,-0.682,-0.023,-0.146,-0.992,0.003,-0.856,-0.100,0.100,0.028,-0.048,-0.091,0.010,0.100,0.000,-0.000
8.280,25.821,143.337,-85.137,85.346,-48.416,14.000,1,-0.399,0.087,0.077,-0.037,-0.055,-0.131,-0.112,-0.039,0.111,0.048,-0.425,-0.288,0.176,0.049,-0.852,-0.100,0.100,0.029,-0.047,-0.100,0.043,0.100,0.000,-0.000
20.975,26.820,149.867,-94.497,88.735,-6.856,14.000,1,-0.213,0.159,0.142,0.070,0.044,-0.268,0.073,-0.050,0.111,-0.237,0.509,-0.341,-0.988,0.097,-0.837,0.100,-0.100,0.024,0.046,-0.060,-0.009,0.100,0.000,-0.000
20.394,23.111,136.012,-65.275,90.490,69.006,14.000,1,-0.795,-0.681,-0.605,-0.007,0.003,-0.120,0.077,-0.001,0.096,0.677,-0.242,-0.126,0.854,0.030,-0.802,0.100,0.024,0.041,0.003,-0.060,-0.044,0.100,0.000,-0.000
6.132,17.706,144.918,-69.847,82.109,19.688,15.000,1,0.296,0.407,0.362,-0.124,-0.133,0.008,-0.156,0.037,0.076,-0.010,0.297,0.014,-0.424,-0.010,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,139.162,-62.132,125.645,-56.711,15.000,1,-0.714,-0.215,-0.191,0.277,0.062,-0.209,-0.271,0.064,0.071,-0.350,0.549,0.301,-1.104,-0.076,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,147.053,-77.607,111.397,-44.556,15.000,1,-0.602,-0.210,-0.187,0.249,0.001,-0.308,-0.285,-0.038,0.093,0.027,0.186,-0.081,-0.179,0.016,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,147.907,-82.682,110.843,-64.739,15.000,1,-0.852,-0.196,-0.174,0.296,0.017,-0.223,-0.403,-0.093,0.111,-0.004,0.139,-0.117,-0.082,0.026,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,145.900,-82.608,108.351,-91.810,15.000,1,-1.106,-0.014,-0.012,0.298,0.004,0.005,-0.477,-0.117,0.121,-0.193,0.247,-0.030,-0.311,0.002,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,154.126,-92.445,90.960,-77.982,15.000,1,-0.894,-0.149,-0.132,0.148,-0.115,-0.103,-0.503,-0.138,0.129,0.358,-0.245,-0.349,0.601,0.103,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.132,17.706,151.500,-89.147,85.903,-101.441,15.000,1,-1.025,0.133,0.118,0.084,-0.140,0.038,-0.476,-0.129,0.126,0.186,-0.074,-0.258,0.318,0.070,-0.636,-1.526,-0.120,0.120,-0.120,-0.119,0.120,0.083,0.000,-0.000
6.110,17.739,140.667,-70.178,100.685,-117.908,15.000,1,-1.140,0.341,0.303,0.136,-0.072,0.204,-0.383,-0.023,0.090,-0.389,0.489,0.218,-0.924,-0.058,-0.642,-1.525,-0.120,0.120,-0.120,-0.119,0.120,0.084,-0.000,-0.000
15.898,10.494,140.125,-46.320,47.481,-32.707,15.000,1,0.633,-0.370,-0.328,-0.675,-0.256,1.053,-0.260,0.104,-0.183,0.601,1.161,0.281,-1.200,-0.012,-0.980,-1.510,0.120,0.120,0.007,0.053,-0.120,-0.013,0.000,-0.000
22.026,30.408,149.322,-99.960,72.241,-67.120,15.000,1,-0.566,-0.436,-0.387,0.077,0.015,0.079,-0.215,-0.165,0.016,0.582,-0.957,-0.630,1.200,0.221,0.172,1.414,0.120,-0.120,0.120,0.116,-0.120,-0.037,0.000,-0.000
7.387,17.471,154.242,-90.152,58.968,58.598,15.000,1,0.074,1.129,1.002,-0.084,-0.210,0.005,-0.267,-0.135,0.067,-0.044,-0.222,-0.153,0.100,0.109,-0.150,-1.410,-0.106,0.120,-0.120,-0.066,0.046,0.037,0.000,-0.000
13.595,38.326,141.290,-135.366,44.835,-15.932,15.000,1,0.429,-0.117,-0.104,-0.772,-0.288,-0.224,-0.272,0.189,0.627,-0.784,-1.189,-0.112,0.803,-0.004,1.200,1.411,0.120,-0.120,-0.002,-0.047,0.120,0.010,0.000,-0.000
13.595,38.326,137.362,-141.355,54.078,-43.102,15.000,1,0.215,0.491,0.436,-0.719,-0.210,-0.426,-0.203,0.290,0.729,-1.199,-1.076,0.265,0.386,-0.007,1.200,1.411,0.120,-0.120,-0.002,-0.047,0.120,0.010,0.000,-0.000
13.595,38.326,138.757,-144.878,74.276,-57.926,15.000,1,-0.007,0.853,0.757,-0.485,-0.119,-0.576,-0.293,0.314,0.748,-1.198,-1.113,0.131,0.535,-0.006,1.200,1.411,0.120,-0.120,-0.002,-0.047,0.120,0.010,0.000,-0.000
13.595,38.326,141.074,-129.437,113.320,-77.772,15.000,1,-0.210,1.089,0.967,0.025,0.316,-0.257,-0.165,0.139,0.561,-0.655,-1.182,-0.091,0.780,-0.004,1.200,1.411,0.120,-0.120,-0.002,-0.047,0.120,0.010,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
50.000,-30.000,55.000,47.000,78.000,180,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
103.528,-80.214,-11.701,103.000,67.000,180,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
85.540,-80.214,24.094,138.430,49.304,129.348,16.000,1,-0.952,1.627,1.445,0.274,0.723,1.002,1.812,-0.113,-0.158,-2.356,-4.500,0.800,-4.082,1.343,-4.500,-0.488,8.063,0.902,1.088,2.500,-0.861,-0.206,0.000,-0.000
85.392,-80.214,-2.486,105.756,41.321,81.115,16.000,1,-0.702,0.937,0.832,0.604,0.263,-0.844,1.536,-0.617,0.596,-3.037,-4.500,-2.003,-2.059,1.356,-4.500,-0.511,8.072,0.903,1.085,2.500,-0.867,-0.208,0.000,-0.000
84.679,-80.214,-11.788,99.231,49.342,44.771,16.000,1,-0.957,0.550,0.488,0.633,0.391,-1.857,1.492,-0.603,0.846,-3.381,-4.500,-3.001,-1.317,1.322,-4.499,-0.623,8.118,0.904,1.072,2.500,-0.894,-0.217,-0.000,-0.000
84.453,-80.214,-13.915,97.902,58.221,26.206,16.000,1,-1.127,0.667,0.592,0.655,0.541,-2.168,1.483,-0.591,0.900,-3.469,-4.500,-3.229,-1.141,1.311,-4.500,-0.657,8.133,0.905,1.068,2.500,-0.903,-0.220,-0.000,-0.000
85.206,-80.214,-5.396,89.780,46.388,94.165,16.000,1,-0.768,0.701,0.623,0.615,0.360,-1.120,1.725,-0.589,0.895,-3.050,-4.500,-2.316,-1.830,1.348,-4.500,-0.539,8.084,0.903,1.082,2.500,-0.874,-0.210,-0.000,-0.000
85.651,-80.214,3.055,80.294,73.168,160.688,16.000,1,-0.919,0.707,0.628,0.662,0.818,-0.205,1.832,-0.583,0.912,-2.618,-4.500,-1.407,-2.489,1.367,-4.500,-0.471,8.056,0.902,1.090,2.500,-0.857,-0.204,0.000,-0.000
112,-47,-49,124,73,160,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
