q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
-70.500,75.221,0.000,-124.855,180.000,353.661,a_1,-1.618,-0.004,-0.887,-0.678,-0.237,-3.196,-0.887,-1.337,0.439,-1.846,1.184,0.336,-1.098,1.840,-3.686,-0.118,-0.953,2.739,0.754,3.504,2.199,1.827,1.886,0.000,-0.000
268.612,69.245,-0.933,-88.124,-93.589,244.930,a_1,-1.616,-1.479,-0.126,-0.096,0.678,-2.338,-0.341,-2.265,0.867,0.803,1.320,-0.994,-1.146,1.802,-3.891,-0.396,-1.690,-0.137,0.757,3.690,-2.869,0.586,1.830,0.000,-0.000
-75.072,74.431,0.000,-75.312,-116.312,-177.294,a_1,-1.616,-1.304,0.493,0.377,0.657,-1.655,-0.456,-2.917,1.201,0.756,1.223,-1.257,-1.293,1.790,-5.056,-0.341,-2.449,1.407,0.803,2.666,-1.026,1.124,1.896,0.000,-0.000
-78.067,79.107,0.000,-85.261,-92.674,-79.805,a_1,-1.614,-1.473,0.303,0.232,0.707,-1.577,-0.111,-3.998,1.106,0.936,1.246,0.077,-1.192,1.784,-4.213,-0.374,-2.516,1.116,0.796,2.762,-1.684,0.996,1.886,-0.000,-0.000
-71.394,71.408,0.000,-139.864,180.000,-325.856,a_1,-1.608,0.322,0.173,0.132,-0.215,-2.329,-0.673,-0.385,0.180,-2.816,0.932,-1.272,-1.396,1.829,-4.826,-0.130,-0.936,2.401,0.780,3.134,1.932,1.640,1.901,-0.000,-0.000
269.124,65.177,-4.247,-73.090,-117.066,-177.828,a_1,-1.600,-1.161,0.463,0.354,0.523,-2.582,-0.718,-2.240,1.044,0.994,1.359,-0.918,-1.024,1.831,-3.058,-0.357,-1.511,0.049,0.703,4.590,-2.206,0.803,1.800,-0.000,-0.000
268.759,70.000,-41.174,-80.473,-99.652,-100.231,a_1,-1.599,-1.266,-0.602,-0.460,0.455,-2.538,-0.414,-0.783,0.416,-0.097,1.344,-1.719,-0.644,1.693,-0.450,-0.340,-1.403,0.058,0.629,5.754,-1.895,0.995,1.741,-0.000,-0.000
-71.209,70.033,0.000,-123.756,180.000,-312.761,a_1,-1.596,0.369,0.088,0.067,-0.250,-3.017,-0.866,-1.082,0.384,-2.038,1.163,-0.664,-1.260,1.849,-4.097,-0.127,-0.966,2.454,0.745,3.698,2.085,1.850,1.878,-0.000,-0.000
-70.267,70.931,0.000,-98.904,-92.924,274.341,a_1,-1.595,-1.350,-0.059,-0.045,0.668,-1.111,0.013,-2.589,0.773,0.338,1.265,-1.223,-1.130,1.802,-4.709,-0.372,-3.179,1.684,0.758,3.160,-0.930,1.477,1.868,-0.000,-0.000
-70.484,83.362,0.001,-109.293,180.000,-312.781,a_1,-1.589,0.127,-0.332,-0.254,-0.135,-3.546,-0.998,-2.589,0.751,-0.849,1.194,-0.424,-1.323,1.775,-5.255,-0.116,-0.811,2.823,0.855,1.819,1.917,1.220,1.945,0.000,-0.000
-71.589,71.380,0.000,-164.731,180.000,352.409,a_1,-1.588,0.257,-0.178,-0.136,-0.198,-0.933,-0.274,0.291,-0.012,-3.527,0.514,-1.761,-1.492,1.818,-5.290,-0.133,-0.919,2.331,0.798,2.850,1.835,1.529,1.912,0.000,-0.000
-69.262,80.306,0.000,-117.529,180.000,291.539,a_1,-1.588,-0.795,-0.559,-0.427,-0.175,-3.482,-0.933,-1.919,0.594,-1.486,1.189,-0.097,-1.215,1.802,-4.634,-0.097,-0.814,2.981,0.815,2.475,2.354,1.526,1.925,0.000,-0.000
