q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
0.0,0.0,1.57,-1.57,-1.57,0.0,0.4411734834114959,-0.1350458729994588,0.5214004751326572,5.0
0.0,0.0,1.57,-1.57,-1.5072,0.0,0.44105018749644226,-0.13887405851347864,0.5214002215672532,5.0
0.0,0.0,1.57,-1.57,-1.4444000000000001,0.0,0.44068688288017943,-0.14268695972204629,0.5213995842123681,5.0
0.0,0.0,1.57,-1.57,-1.3816000000000002,0.0,0.4400850019071475,-0.14646954409432505,0.5213985655808013,5.0
0.0,0.0,1.57,-1.57,-1.3188000000000002,0.0,0.4392469175195742,-0.15020689862493977,0.5213971696885529,5.0
0.0,0.0,1.57,-1.57,-1.2560000000000002,0.0,0.43817593390204496,-0.15388428862915673,0.5213954020389893,5.0
0.0,0.0,1.57,-1.57,-1.1932000000000003,0.0,0.43687627345461044,-0.15748721583502684,0.5213932696011467,5.0
0.0,0.0,1.57,-1.57,-1.1304000000000003,0.0,0.4353530601457883,-0.16100147554346092,0.5213907807822553,5.0
0.0,0.0,1.57,-1.57,-1.0676000000000003,0.0,0.4336122993110915,-0.1644132126308811,0.521387945394593,5.0
0.0,0.0,1.57,-1.57,-1.0048000000000004,0.0,0.43166085397672915,-0.16770897617365527,0.5213847746168006,5.0
0.0,0.0,1.57,-1.57,-0.9420000000000004,0.0,0.42950641780182325,-0.17087577247895552,0.5213812809498088,5.0
0.0,0.0,1.57,-1.57,-0.8792000000000004,0.0,0.4271574847458192,-0.17390111631296423,0.5213774781675539,5.0
0.0,0.0,1.57,-1.57,-0.8164000000000005,0.0,0.42462331558067684,-0.17677308012445764,0.5213733812626721,5.0
0.0,0.0,1.57,-1.57,-0.7536000000000005,0.0,0.4219139013798691,-0.17948034106970165,0.5213690063873911,5.0
0.0,0.0,1.57,-1.57,-0.6908000000000005,0.0,0.4190399241281355,-0.18201222565326164,0.5213643707898494,5.0
0.0,0.0,1.57,-1.57,-0.6280000000000006,0.0,0.4160127146072869,-0.1843587518087281,0.5213594927460944,5.0
0.0,0.0,1.57,-1.57,-0.5652000000000006,0.0,0.41284420772409935,-0.18651066825345253,0.5213543914880282,5.0
0.0,0.0,1.57,-1.57,-0.5024000000000006,0.0,0.40954689545641937,-0.1884594909621366,0.5213490871275853,5.0
0.0,0.0,1.57,-1.57,-0.4396000000000006,0.0,0.40613377760299074,-0.19019753661547556,0.5213436005774402,5.0
0.0,0.0,1.57,-1.57,-0.3768000000000006,0.0,0.4026183105311765,-0.19171795289198226,0.5213379534685583,5.0
0.0,0.0,1.57,-1.57,-0.31400000000000056,0.0,0.3990143541246377,-0.19301474548356673,0.521332168064915,5.0
0.0,0.0,1.57,-1.57,-0.25120000000000053,0.0,0.39533611714013245,-0.1940828017283593,0.5213262671757187,5.0
0.0,0.0,1.57,-1.57,-0.1884000000000005,0.0,0.391598101188867,-0.1949179107676052,0.5213202740654849,5.0
0.0,0.0,1.57,-1.57,-0.1256000000000005,0.0,0.3878150435632549,-0.19551678014716056,0.5213142123623142,5.0
0.0,0.0,1.57,-1.57,-0.06280000000000048,0.0,0.3840018591344937,-0.19587704879813767,0.5213081059647386,5.0
0.0,0.0,1.57,-1.57,-4.718447854656915e-16,0.0,0.38017358155002784,-0.19599729634552315,0.521301978947499,5.0
0.0,0.0,1.57,-1.57,0.06279999999999954,0.0,0.37634530396273297,-0.19587704870806882,0.5212958554666306,5.0
0.0,0.0,1.57,-1.57,0.12559999999999955,0.0,0.37253211952549553,-0.19551677996737793,0.5212897596642263,5.0
0.0,0.0,1.57,-1.57,0.18839999999999957,0.0,0.3687490618857937,-0.19491791049881763,0.5212837155732553,5.0
0.0,0.0,1.57,-1.57,0.2511999999999996,0.0,0.36501104591488037,-0.19408280137162648,0.5212777470228123,5.0
0.0,0.0,1.57,-1.57,0.3139999999999996,0.0,0.3613328089052466,-0.1930147450402951,0.5212718775441701,5.0
0.0,0.0,1.57,-1.57,0.37679999999999964,0.0,0.35772885246819774,-0.19171795236391942,0.5212661302780068,5.0
0.0,0.0,1.57,-1.57,0.43959999999999966,0.0,0.3542133853606122,-0.1901975360047034,0.5212605278831719,5.0
0.0,0.0,1.57,-1.57,0.5023999999999996,0.0,0.35080026746629206,-0.18845949027106318,0.5212550924473538,5.0
0.0,0.0,1.57,-1.57,0.5651999999999996,0.0,0.3475029551527615,-0.18651066748480236,0.5212498453999974,5.0
0.0,0.0,1.57,-1.57,0.6279999999999996,0.0,0.34433444821894515,-0.18435875096553167,0.521244807427818,5.0
0.0,0.0,1.57,-1.57,0.6907999999999995,0.0,0.34130723864288903,-0.18201222473884332,0.5212399983932423,5.0
0.0,0.0,1.57,-1.57,0.7535999999999995,0.0,0.338433261331587,-0.1794803400876665,0.5212354372561011,5.0
0.0,0.0,1.57,-1.57,0.8163999999999995,0.0,0.33572384706708475,-0.1767730790786774,0.5212311419988782,5.0
0.0,0.0,1.57,-1.57,0.8791999999999994,0.0,0.33318967783437275,-0.17390111520756196,0.5212271295558144,5.0
0.0,0.0,1.57,-1.57,0.9419999999999994,0.0,0.3308407447071905,-0.17087577131828932,0.5212234157461428,5.0
0.0,0.0,1.57,-1.57,1.0047999999999995,0.0,0.32868630845777835,-0.16770897496230106,0.5212200152117218,5.0
0.0,0.0,1.57,-1.57,1.0675999999999994,0.0,0.32673486304587557,-0.16441321137361478,0.5212169413593079,5.0
0.0,0.0,1.57,-1.57,1.1303999999999994,0.0,0.3249941021309098,-0.16100147424523928,0.5212142063076994,5.0
0.0,0.0,1.57,-1.57,1.1931999999999994,0.0,0.32347088873940655,-0.15748721450096814,0.5212118208399579,5.0
0.0,0.0,1.57,-1.57,1.2559999999999993,0.0,0.3221712282072049,-0.1538842872645206,0.5212097943608947,5.0
0.0,0.0,1.57,-1.57,1.3187999999999993,0.0,0.32110024450315655,-0.15020689723510636,0.5212081348599928,5.0
0.0,0.0,1.57,-1.57,1.3815999999999993,0.0,0.32026216002765323,-0.1464695426847738,0.5212068488799078,5.0
0.0,0.0,1.57,-1.57,1.4443999999999992,0.0,0.3196602789656273,-0.1426869582983344,0.5212059414906725,5.0
0.0,0.0,1.57,-1.57,1.5071999999999992,0.0,0.31929697425965714,-0.1388740570812192,0.5212054162697088,5.0
0.0,0.0,1.57,-1.57,1.57,-1.57,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.5072,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.4444000000000001,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.3816000000000002,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.3188000000000002,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.2560000000000002,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.1932000000000003,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.1304000000000003,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.0676000000000003,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-1.0048000000000004,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.9420000000000004,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.8792000000000004,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.8164000000000005,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.7536000000000005,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.6908000000000005,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.6280000000000006,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.5652000000000006,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.5024000000000006,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.4396000000000006,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.3768000000000006,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.31400000000000056,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.25120000000000053,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.1884000000000005,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.1256000000000005,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-0.06280000000000048,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,-4.718447854656915e-16,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.06279999999999954,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.12559999999999955,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.18839999999999957,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.2511999999999996,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.3139999999999996,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.37679999999999964,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.43959999999999966,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.5023999999999996,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.5651999999999996,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.6279999999999996,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.6907999999999995,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.7535999999999995,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.8163999999999995,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.8791999999999994,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,0.9419999999999994,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.0047999999999995,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.0675999999999994,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.1303999999999994,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.1931999999999994,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.2559999999999993,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.3187999999999993,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.3815999999999993,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.4443999999999992,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
0.0,0.0,1.57,-1.57,1.57,1.5071999999999992,0.3191736782545365,-0.1350458715642985,0.5212052752877238,6.0
