q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
-1.57,0.0,1.57,0.0,1.57,0.0,-0.13465566881603944,-0.4891553315748249,0.5693901506842277,1.0
-1.5072,0.0,1.57,0.0,1.57,0.0,-0.10369145883512045,-0.49664189202786385,0.5693901506842277,1.0
-1.4444000000000001,0.0,1.57,0.0,1.57,0.0,-0.07231844071384523,-0.5021704199622772,0.5693901506842277,1.0
-1.3816000000000002,0.0,1.57,0.0,1.57,0.0,-0.040660303957015954,-0.5057191189133499,0.5693901506842277,1.0
-1.3188000000000002,0.0,1.57,0.0,1.57,0.0,-0.008841862162204549,-0.5072739979792739,0.5693901506842277,1.0
-1.2560000000000002,0.0,1.57,0.0,1.57,0.0,0.023011439063349036,-0.5068289269808951,0.5693901506842277,1.0
-1.1932000000000003,0.0,1.57,0.0,1.57,0.0,0.05477401667756481,-0.5043856606302142,0.5693901506842277,1.0
-1.1304000000000003,0.0,1.57,0.0,1.57,0.0,0.08632064532019365,-0.4999538316123571,0.5693901506842277,1.0
-1.0676000000000003,0.0,1.57,0.0,1.57,0.0,0.11752695101931174,-0.49355091260829015,0.5693901506842277,1.0
-1.0048000000000004,0.0,1.57,0.0,1.57,0.0,0.1482699015411791,-0.4852021474080065,0.5693901506842277,1.0
-0.9420000000000004,0.0,1.57,0.0,1.57,0.0,0.17842829145023614,-0.47494045138577246,0.5693901506842277,1.0
-0.8792000000000004,0.0,1.57,0.0,1.57,0.0,0.20788321996686857,-0.4628062817298165,0.5693901506842277,1.0
-0.8164000000000005,0.0,1.57,0.0,1.57,0.0,0.23651855973896388,-0.4488474779380831,0.5693901506842277,1.0
-0.7536000000000005,0.0,1.57,0.0,1.57,0.0,0.26422141467910826,-0.4331190732089071,0.5693901506842277,1.0
-0.6908000000000005,0.0,1.57,0.0,1.57,0.0,0.29088256506238064,-0.4156830774702065,0.5693901506842277,1.0
-0.6280000000000006,0.0,1.57,0.0,1.57,0.0,0.3163968981299252,-0.3966082329026131,0.5693901506842277,1.0
-0.5652000000000006,0.0,1.57,0.0,1.57,0.0,0.3406638225006301,-0.3759697429203991,0.5693901506842277,1.0
-0.5024000000000006,0.0,1.57,0.0,1.57,0.0,0.3635876647570735,-0.35384897567870627,0.5693901506842277,1.0
-0.4396000000000006,0.0,1.57,0.0,1.57,0.0,0.38507804664218465,-0.3303331432760135,0.5693901506842277,1.0
-0.3768000000000006,0.0,1.57,0.0,1.57,0.0,0.405050241379499,-0.30551495791659916,0.5693901506842277,1.0
-0.31400000000000056,0.0,1.57,0.0,1.57,0.0,0.4234255077122041,-0.2794922663885961,0.5693901506842277,1.0
-0.25120000000000053,0.0,1.57,0.0,1.57,0.0,0.4401314003440104,-0.2523676642987217,0.5693901506842277,1.0
-0.1884000000000005,0.0,1.57,0.0,1.57,0.0,0.45510205555791977,-0.2242480915845837,0.5693901506842277,1.0
-0.1256000000000005,0.0,1.57,0.0,1.57,0.0,0.4682784508868302,-0.19524441089926856,0.5693901506842277,1.0
-0.06280000000000048,0.0,1.57,0.0,1.57,0.0,0.47960863781220814,-0.16547097053045248,0.5693901506842277,1.0
-4.718447854656915e-16,0.0,1.57,0.0,1.57,0.0,0.48904794657341133,-0.1350451535772444,0.5693901506842277,1.0
0.06279999999999954,0.0,1.57,0.0,1.57,0.0,0.4965591622801849,-0.10408691516215092,0.5693901506842277,1.0
0.12559999999999955,0.0,1.57,0.0,1.57,0.0,0.5021126716340043,-0.07271830950272624,0.5693901506842277,1.0
0.18839999999999957,0.0,1.57,0.0,1.57,0.0,0.505686579679809,-0.04106300870744732,0.5693901506842277,1.0
0.2511999999999996,0.0,1.57,0.0,1.57,0.0,0.5072667961278257,-0.009245815192983014,0.5693901506842277,1.0
0.3139999999999996,0.0,1.57,0.0,1.57,0.0,0.5068470909051556,0.02260783035482696,0.5693901506842277,1.0
0.37679999999999964,0.0,1.57,0.0,1.57,0.0,0.5044291187181126,0.05437234353639709,0.5693901506842277,1.0
0.43959999999999966,0.0,1.57,0.0,1.57,0.0,0.5000224125284691,0.08592249136041862,0.5693901506842277,1.0
